id_techo;tipo_edificio;tipo_techo;edificio;tipo_sistema;capacidad;caracteristicas;generacion_anual_de_energia;huella_de_carbono_anual_evidata;calle;barrio;comuna
1;Público;Solar Fotovoltaico;CIFA;On-Grid;37660 Wp;"- INSTALACION SOLAR FOTOVOLTAICA ""Paneles convencionales"" ";;;;;
2;Público;Solar Fotovoltaico;Legislatura de la Ciudad de Buenos Aires;On-Grid;26000 Wp;96 módulos de silicio policristalino de 270 Wp, distribuidos en 16 filas de 6 módulos. - 2 inversores marca SMA Modelo STP 15000Tl-10 de 15 kVA.;48400;22.37;PERU;Monserrat;Comuna 1
3;Privado;Solar Fotovoltaico;Fundación Greenpeace Argentina;On-Grid;1700 Wp;750Wp: 10 módulos fotovoltaicos KS 75 (celdas Kyocera, módulo Solartec), de 75W cada uno, con un inversor SMA SB 700. - 960Wp: 12 módulos KS 80 (celdas Kyocera, módulo Solartec), de 80W cada uno, inversor ATERSA TAURO PR 1000/3.;2650;1.23;ZABALA;Chacarita;Comuna 15
4;Privado;Solar Fotovoltaico;Fundación Greenpeace Argentina;Off-Grid;120 Wp;Instalación fotovoltaica autónoma que alimenta una bomba centrífuga a corriente continua. - 120Wp. Batería Autobat Solar 115Wh. Bomba Shurflo 2088 12V CC. Regulador de carga Solartec SRX 10.;190;0.09;ZABALA;Chacarita;Comuna 15
5;Privado;Solar Fotovoltaico;Aseguradora Allianz;On-Grid;520 Wp;Paneles fotovoltaicos para la iluminacion led de la fachada. Ademas cuenta con dos molinos eólicos de eje vertical HelixWind de 2 kW cada uno.;810;0.37;CORRIENTES AV.;San Nicolas;Comuna 1
6;Privado;Solar Fotovoltaico;Observatorio de la CABA - Parque Centenario;On-Grid;1920 Wp;8 módulos de 240 Wp c/u.;2980;1.38;PATRICIAS ARGENTINAS AV.;Caballito;Comuna 6
7;Público;Solar Fotovoltaico;Ministerio de Ciencia, Tecnología e Innovación Productiva de la Nación;On-Grid;40035 Wp;2 inversores de conexion a red de 20 kW cada uno. - Datos de la Instalacion : http://www.aldar.com.ar/proyectos-realizados-helport.php ;;;;;
8;Privado;Solar Fotovoltaico;Palermo 1;Off-Grid;960 Wp;8 baterías, 1800 Wh;1490;0.69;FITZ ROY;Palermo;Comuna 14
9;Público;Solar Fotovoltaico;Hotel Perón;Off-Grid;5640 Wp;16 baterí-as, 2700 Wh;8750;4.04;YRIGOYEN, HIPOLITO;Balvanera;Comuna 3
10;Privado;Solar Fotovoltaico;Barracas 1;Off-Grid;1440 Wp;12 baterías, 2700 Wh;2230;1.03;Pedro N Arata;BARRACAS;Comuna 4
11;Público;Solar Fotovoltaico;Ente Nacional Regulador de la Electricidad;On-Grid;3700 Wp;20 módulos de 185 Wp cada uno;5740;2.65;SUIPACHA;San Nicolas;Comuna 1
12;Público;Solar Fotovoltaico;Palacio de Hacienda;On-Grid;4465 Wp;19 módulos de 235 Wp;6930;3.2;YRIGOYEN, HIPOLITO AV.;Monserrat;Comuna 1
13;Público;Solar Fotovoltaico;Ministerio de Energía y Minería;On-Grid;1440 Wp;8 Módulos FV de 180 Wp c/u.;2230;1.03;PASEO COLON AV.;Monserrat;Comuna 1
14;Público;Solar Fotovoltaico;Defensoría del Pueblo;Off-Grid;260 Wp;4 paneles fotovoltaicos de 65 Wp cada uno. - Inversor-Cargador Marca QMAX. - Batería Marca MouraClean.;400;0.19;REPUBLICA BOLIVARIANA DE VENEZUELA;Monserrat;Comuna 1
15;Público;Solar Fotovoltaico;Escuela Media NÂº 3, Distrito Escolar NÂº 4;Off-Grid;260 Wp;4 paneles de 65 W que alimenta un reflector a modo demostrativo.  - Baterias Trojan 24v/110Ah. - Inversor 24V/220V. 1KW - SP. - Regulador Morningstar. -Este sistema es parte de una estación didáctica. Aerogenerador 300 W, bicigenerador y horno solar;400;0.19;PALOS;Boca;Comuna 4
16;Privado;Solar Fotovoltaico;Particular 1;Off-Grid;600 Wp;Baterías 24 V. Sistema de generación para uso de determinados circuitos con posibilidad de back up para cortes de luz. Inversor de 3300 Watt;930;0.43;Neuquén;CABALLITO;Comuna 6
17;Privado;Solar Fotovoltaico;Particular 2;Off-Grid;100 Wp;Baterías en 12 V. Sistema: uso de iluminación interna y externa y la posibilidad de utilización como back up para cortes de luz.;160;0.07;Gurruchaga;VILLA CRESPO;Comuna 15
18;Privado;Solar Fotovoltaico;Particular 3;Off-Grid;200 Wp;Baterías en 12 V. Sistema para uso de iluminación interna y externa y la posibilidad de utilización como back up para cortes de luz.;310;0.14;Avenida Intendente Bullrich;PALERMO;Comuna 14
19;Privado;Solar Fotovoltaico;Particular 4;Off-Grid;1440 Wp;1440 Watt de paneles. Inversor cargador QMAX de 2000 Watt. Este sistema brinda la energía del 50% de los consumos energéticos del lugar;2230;1.03;Balbastro;FLORES;Comuna 7
20;Privado;Solar Térmico;Parque Chas 1;;200 lts;20 tubos Heat Pipe. Sistema compacto termosifónico.;3820;1.02;LIVERPOOL;Parque Chas;Comuna 15
21;Público;Solar Térmico;CIFA;;400 lts;2 Colectores de placa plana de 2 m2, sistema forzado;11460;3.06;ESCALADA AV.;Villa Soldati;Comuna 8
22;Público;Solar Térmico;Defensoria del Pueblo;;150 lts;1 Colector Vademarco MDIII, acumulador de 150 lts, con resistencia eléctrica.;2870;0.77;REPUBLICA BOLIVARIANA DE VENEZUELA;Monserrat;Comuna 1
23;Público;Solar Térmico;Escuela Media NÂº 3, Distrito Escolar NÂº 4;;50 lts;10 tubos de vacio. Modelo Apricus;960;0.26;PALOS;Boca;Comuna 4
24;Privado;Solar Térmico;Particular 5;;150 lts;Sistema compacto. Tubos de vacío tricapa de vidrio-borosilicato. Tanque interno: Acero inoxidable, 0,41 mm de espesor. Tanque externo: Acero con recubrimiento de PVDF, espesor 0,41 mm.;2870;0.77;CORRIENTES AV.;Villa Crespo;Comuna 15
25;Público;Solar Térmico;Centro de Primera Infancia Pamperito;;300 lts;Colector placa plana, termosifónico. Sistema instalado split;5730;1.53;RIESTRA AV.;Parque Chacabuco;Comuna 7
26;Público;Solar Térmico;Comedor Comunitario Portal de Belén;;300 lts;Colector placa plana, termosifónico. Sistema instalado split;5730;1.53;RIESTRA AV.;Flores;Comuna 7
27;Público;Solar Térmico;Particular 6;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
28;Público;Solar Térmico;Particular 7;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
29;Público;Solar Térmico;Particular 8;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
30;Público;Solar Térmico;Particular 9;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
31;Público;Solar Térmico;Particular 10;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
32;Público;Solar Fotovoltaico;Metrobus;On-Grid;78720 Wp;328 modulos de 240 watts cada uno;;;;;
33;Privado;Solar Fotovoltaico;Oficinas Machain;On-Grid;5220 Wp;;8100;3.74;Machain;SAAVEDRA;Comuna 12
34;Público;Solar Fotovoltaico;Autopistas Urbanas S.A.;On-Grid;139320 Wp;516 modulos de 270 watts cada uno;;;;;
35;Público;Solar Fotovoltaico;Autopistas Urbanas S.A.;On-Grid;22680 Wp;84 modulos de 270 watts cada uno;;;;;
36;Público;Solar Fotovoltaico;CENCAPOR;On-Grid;3932000;312 modulos de 325Wp conectados a 3 inversores Sunny Tripower CORE1;61000;28.19;Av. de los Inmigrantes;Retiro;Comuna 1
37;Público;Solar Térmico;Escuela SXXI;;;;34380;9.18;Holmberg;Villa Urquiza;Comuna 12
38;Público;Solar Fotovoltaico;"Escuela Primaria Común NÂ°10 D.E 12 ""Coronel de marina Leonardo Rosales""";On-Grid;46500 Wp;Boletín Oficial;72130;33.33;Mercedes;Floresta;Comuna 10
39;Público;Solar Térmico;La casa de Juanita- Comedor comunitario Trabajo Social;;300 lts;1 Colector Solar térmico tipo compacto de 30 tubos de vacío.;5730;1.53;Av. Saenz;Nueva Pompeya;Comuna 4
40;Privado;Solar Térmico;Cohglan 1- Particular;;6 colectores de 30 tubos;Almacenamiento: 6000lts;114600;30.6;Avenida Congreso;COGHLAN;Comuna 12
41;Privado;Solar Térmico;Barrio Chino- Particular;;;Colector para pileta 62 m2;19100;5.1;Echeverria;BELGRANO;Comuna 13
42;Privado;Solar Térmico;Palermo II- Particular;;;1 colector de 20 tubos.;3820;1.02;Avenida Intendente Bullrich;PALERMO;Comuna 14
43;Privado;Solar Fotovoltaico;Edificio Juncal;Off-Grid;1060 Wp;Almacenamiento con 4 baterías.;1640;0.76;Avenida Intendente Bullrich;PALERMO;Comuna 14
44;Privado;Solar Térmico;Benito Roggio Ambiental;;30 tubos;Almacenamiento: 300 litros;5730;1.53;Jeronimo Salguero 3800;RECOLETA;Comuna 2
45;Público;Solar Térmico;PM-CT1-ST-Padre Mugica;;6000 l;Instalación común para edificio de 40 viviendas.Se instalaron en cada edificio â€‹40 colectores solares planos Sunrain, 20 tanques acumuladores de 300 lts. cada uno (4 por núcleo) de la misma marca y 5 bombas recirculadoras de agua (uno por núcleo).  Se tiene la proporción de 2m2 de captador y 150 litros de agua caliente solar por unidad funcional.;114600;30.6;;;
46;Privado;Solar Térmico;La Pirucha ST;;60 tubos;Almacenamiento 300 lts;5730;1.53;Virrey Liniers;BOEDO;Comuna 5
47;Privado;Solar Fotovoltaico;La Pirucha FV;Off-Grid;3100 Wp;Almacenamiento: 5 baterias;4810;2.22;Virrey Liniers;BOEDO;Comuna 5
48;Público;Solar Térmico;Guardería Villa Olímpica;;Heatpipe 200 litros;;3820;1.02;;;
49;Privado;Solar Fotovoltaico;Lima 1111 - Altman Constructora;On-Grid;10800 Wp;INVERSOR: SMA. Potencia unitaria: 12 kW. PANELES: SolarWorld - SW 270 Mono Solar Panel - Silicio Monocristalino. Potencia unitaria: 270 Wp. Cantidad: 40 - Potencia total: 10,8 kVA - Superficie ocupada: 102,6 m2 - Superficie activa: 63 m2 - Inclinación: 30Â°;16750;7.74;Lima;CONSTITUCION;Comuna 1
50;Privado;Solar Fotovoltaico;Embajada de Estados Unidos;Off-Grid;10800  Wp;72 módulos de 150 watts;;;;;
51;Público;Solar Fotovoltaico;Autopistas Urbanas S.A.;On-Grid;14580 Wp;54 paneles  de 270Wp c/u marca LV- energy;22620;10.45;Echeandia;Parque Avellaneda;Comuna 9
52;Público;Solar Fotovoltaico;Autopistas Urbanas S.A.;On-Grid;83430 Wp;309 paneles de 270 wp cada uno.;129420;59.81;Avenida Presidente Ramón Castillo;;
53;Público;Solar Fotovoltaico;Autopistas Urbanas S.A.;On-Grid;16200 Wp;60 paneles de 270 Wp c/u;25130;11.61;Av. Costanera Rafael Obligado;Recoleta;Comuna 2
54;Público;Solar Térmico;PM-CT2-ST- Padre Mugica;;6000 l;Instalación común para edificio de 40 viviendas.Se instalaron en cada edificio â€‹40 colectores solares planos Sunrain, 20 tanques acumuladores de 300 lts. cada uno (4 por núcleo) de la misma marca y 5 bombas recirculadoras de agua (uno por núcleo).  Se tiene la proporción de 2m2 de captador y 150 litros de agua caliente solar por unidad funcional.;114600;30.6;;;
55;Público;Solar Térmico;Autopistas Urbanas S.A.;;900 lts;3 HeatPipe de 300 lts cada uno;17190;4.59;Av. Ramón Castillo;;
56;Público;Solar Fotovoltaico;Centro de atención al visitante;Off-Grid;;;0;0.0;;;
57;Privado;Solar Fotovoltaico;Buquebus;On-Grid;399000 Wp;Instalación: 13/04/2018;;;;;
58;Público;Solar Fotovoltaico;Escuela técnica nÂ°1 Otto Krause;On-Grid;21600 Wp;72 paneles fotovoltaicos de capa fina de 300 Wp;36300;16.77;av paseo colon;Monserrat;Comuna 1
59;Privado;Solar Fotovoltaico;Dom Belgrano 1;On-Grid;3840 Wp;Su instalación posee 12 paneles solares de 320 Wp cada uno, cada panel tiene un microinversor que asegura la menor perdida de energia.;5960;2.75;11 de Septiembre 1888;PALERMO;Comuna 14
60;Público;Solar Fotovoltaico;PM-CT1-FV-Padre Mugica;On-Grid;34880 Wp;Instalación para 40 Familias - 109 paneles (320 Wp) policristalinos Amerisolar + 5 Inversores 7kWp SMA STP-7000TL-20 (Potencia Acople: 35 kW). Cubre 20% de la demanda. 900W por vivienda.;54110;25.0;;;
61;Público;Solar Fotovoltaico;PM-CT2-FV-Padre Mugica;On-Grid;34880 Wp;Instalación para 40 Familias - 109 paneles (320 Wp) policristalinos Amerisolar + 5 Inversores 7kWp SMA STP-7000TL-20 (Potencia Acople: 35 kW). Cubre 20% de la demanda. 900W por vivienda.;54110;25.0;;;
62;Público;Solar Fotovoltaico;PM-CT1-BS-Padre Mugica;Off-Grid;3800 Wp;Instalación de bombeo solar. 64 Paneles 60 Wp CPE060/36 celdas - Banco de baterías Narada 7 OPzV500(selladas, sin mantenimiento). Bombas Grundfos CRIF.;5890;2.72;;;
63;Público;Solar Fotovoltaico;PM-CT2-BS-Padre Mugica;Off-Grid;3800 Wp;Instalación de bombeo solar. 64 Paneles 60 Wp CPE060/36 celdas - Banco de baterías Narada 7 OPzV500(selladas, sin mantenimiento). Bombas Grundfos CRIF.;5890;2.72;;;
64;Público;Solar Fotovoltaico;Estación Metrobus;On-Grid;132000 Wp;400 Paneles (330 Wp) - Potencia de Acople: 132 kWp;186150;86.02;;;
65;Público;Solar Fotovoltaico;Escuela NÂ°26;On-Grid;18000 Wp;60 Paneles Fotovoltaicos de Capa Fina (Flexibles -CIGS) (300 Wp) Global Solar Energy;;;;;
66;Público;Solar Fotovoltaico;Escuela NÂ°15 Antonio Devoto;On-Grid;40000 Wp;114 Paneles - Potencia de Acople : 40 kWp;62050;28.67;Av. Salvador María del Carril;VILLA DEVOTO;Comuna 11
67;Público;Solar Fotovoltaico;"Escuela Integral Interdiciplinaria NÂ°10 D.E. 10 ""Alferez de Navio J. Sobral""";On-Grid;5100 Wp;Potencia de Acople: 4,2 kWp;7910;3.66;O'Higgins;NUÑEZ;Comuna 13
68;Público;Solar Fotovoltaico;"Escuela Media NÂ°3 D.E. 17 ""EMEM 03 Antonio Devoto""";On-Grid;32000 Wp;Potencia de Acopole : 37,5 kWp;49640;22.94;Mercedes;VILLA DEVOTO;Comuna 11
69;Público;Solar Fotovoltaico;"Escuela Primaria Común NÂ°12 D.E. 10 ""Profesor Rodolfo Senet""";On-Grid;40000 Wp;Potencia de Acople: 40 kWp;62050;28.67;Av. Cramer;NUÑEZ;Comuna 13
70;Privado;Solar Fotovoltaico;"Establecimiento Educativo ""Washington School""";On-Grid;4900 Wp;Paneles Amerisolar 350 Wp Monocristalinos | Inversor ABB 5 kW | Bases autoportantes Smartflex;7600;3.51;Av. Federico Lacroze;PALERMO;Comuna 14
71;Privado;Solar Fotovoltaico;Focolares Almagro;On-Grid;6000 Wp;-;9210;4.26;Avenida Rivadavia;ALMAGRO;Comuna 5
72;Privado;Solar Fotovoltaico;Creiman- Privado;On-Grid;1680 Wp;6 Paneles de 280 Wp - Inyección: 30% a 40%;2610;1.2;Avenida Presidente Figueroa Alcorta;PALERMO;Comuna 14
73;Privado;Solar Fotovoltaico;SP Productos;On-Grid;11730 Wp;;18200;8.41;Av. Albarellos;VILLA PUEYRREDON;Comuna 12
74;Privado;Solar Fotovoltaico;ROCSA;On-Grid;5000 Wp;-;7760;3.58;Avenida Olivera;PARQUE AVELLANEDA;Comuna 9
75;Privado;Solar Fotovoltaico;Fundacion Energizar;On-Grid;5000 Wp;-;7760;3.58;Delgado;COLEGIALES;Comuna 13
76;Privado;Solar Térmico;Barrio Parque I;;240 Litros;20 Captadores de tubos de vidrio, con un tanque de 240 Litros de capacidad de acumulación, de un area total de 3,5 mts2;4580;1.22;Ombu;PALERMO;Comuna 14
77;Privado;Solar Térmico;Villa del Parque I;;;Colectores de agua termosifonado para climatizacion de pileta. Cubre un area de 20mts2;5730;1.53;Helguera;VILLA DEL PARQUE;Comuna 11
78;Privado;Solar Fotovoltaico;Kasakoff FV;Off-Grid;1080 Wp;Sistema Fotovoltaico Off-Grid que posee 8 baterias de plomo acido;1680;0.77;;;
79;Privado;Solar Térmico;Kasakoff ST;;500lts;2 capatadores de tubos de vacio, cada uno tiene una capacidad de almacenamiento de 250lts;9550;2.55;;;
80;Privado;Solar Fotovoltaico;UCA- Santa Maria;On-Grid;177120 Wp;492 paneles Silicio monocristalino de 360 c/u de la marca Longi Solar, ubicados en el techo de la universidad orientados Este y Oeste, conectados a 4 inversores de 50kW c/u de la empresa ABB, el sistema de monitoreo usado es Aurora.;274760;126.97;Alicia Moreau de Justo;PUERTO MADERO;Comuna 1
81;Privado;Solar Fotovoltaico;EXO SA;On-Grid;15000 Wp;60 paneles de 250Wp c/u ubicados en la terraza de la empresa con una inclinación de 35Â°, conectados a un inversor de la marca Growatt.;23270;10.75;;BOEDO;Comuna 5
82;Privado;Solar Térmico;EXO SA;;500lts;2 colectores solares con capacidad c/u de 250 lts;9550;2.55;Av. Chiclana;BOEDO;Comuna 5
83;Privado;Solar Fotovoltaico;ITBA- Campus, P. Patricios;;15000 Wp;50 paneles solares de 300Wp c/u, ubicados en el techo del Campus sede Parque Patricios.;23270;10.75;Lavarden;PARQUE PATRICIOS;Comuna 4
84;Privado;Solar Fotovoltaico;Dom Paternal I;Off-Grid;3000 Wp;6 paneles Alic y un inversor híbrido Alic de 3000Wp;4650;2.15;;;
85;Privado;Solar Térmico;Particular - Villa Ortúzar 1;;16 m2;Captador en techo, para calentamiento de pileta;19100;5.1;;;
86;Público;Solar Fotovoltaico;CIFA FV 1;On-Grid;7000Wp;92 Modulos Fotovoltaicos de 250Wp c/u de tecnologia Si-Pol conectados a 3 inversores SMA On-Grid con capacidad de 18000Wp.;10860;5.02;;;
87;Privado;Solar Térmico;Fund. Centro Cristiano Nueva vida;;600;2 colectores solares de 300lts c/u;11460;3.06;Lynch;NUEVA POMPEYA;Comuna 4
88;Privado;Solar Térmico;Hogar Nuestra Señora de Nazareth;;900lts;3 Colectores solares con una capacidad c/u de 300lts;17190;4.59;Av. Belgrano;BALVANERA;Comuna 3
89;Privado;Solar Térmico;Asoc. Civil Soles en el Camino;;900;Abastecen de agua caliente a 40 personas, entre ellos niños y niñas.;17190;4.59;Pichincha;SAN CRISTOBAL;Comuna 3
90;Privado;Solar Térmico;Centro Misionero y Solidario San Cayetano del Niño Jesús;;300lts;Abastece de agua caliente a 12 personas que trabajan brindando Cursos de formación. Especialistas en Psicología, Psicopedagogía y Fonoaudiología.;5730;1.53;Corvalán;VILLA LUGANO;Comuna 8
91;Privado;Solar Térmico;Fundacion Navarro Vida;;900lts;3 Sistemas Solares Termosifonicos de 300lts c/u.;17190;4.59;Bruix;PARQUE AVELLANEDA;Comuna 9
92;Privado;Solar Térmico;Asic. Civil Maria del Rosario de San Nicolas;;600lts;2 Sistemas Termosifónicos de 300lts c/u;11460;3.06;Andonaegui;PARQUE CHAS;Comuna 15
93;Privado;Solar Térmico;ISONDU;;600lts;2 sistemas termicos solares con capacidad de almacenamiento c/u de 300lts;11460;3.06;Dr. Juan Madera;BARRACAS;Comuna 4
94;Privado;Solar Térmico;Hogar Cunumi;;600lts;2 sistemas termosifonicos con un almacenamiento de 300lts c/u;11460;3.06;Pje. Cayasta;BARRACAS;Comuna 4
95;Privado;Solar Térmico;Hogar descanso Miquelinas;;600lts;2 Sistemas de Tubos Captadores Solares con una capacidad de 300lts c/u;11460;3.06;Dávila;PARQUE CHACABUCO;Comuna 7
96;Privado;Solar Térmico;Centro solidario San José;;4200lts;14 Colectores Solares con una capacidad 300lts c/u;80220;21.42;Guaraní;NUEVA POMPEYA;Comuna 4
97;Privado;Solar Térmico;Amparo Descanso Maternal;;900lts;3 Sistemas Solares termicos con capacidad de almacenamiento de 300lts c/u;17190;4.59;Ernesto A. Bavio;BELGRANO;Comuna 13
98;Privado;Solar Térmico;Asociación Misericordia;;300lts;1 Sistema termico con capacidad de almacenamiento de 300lts;5730;1.53;Alberti;PARQUE PATRICIOS;Comuna 4
99;Privado;Solar Térmico;Coorporativa Trabajo y Dignidad;;300lts;1 sistema solar térmico con una capacidad de almacenamiento de 300 lts;5730;1.53;José Marti;VILLA SOLDATI;Comuna 8
100;Privado;Solar Térmico;Ecoparque;;5400 lts;18 equipos solares termicos distribuidos en distintos sectores del predio.;103140;27.54;;;
101;Público;Solar Fotovoltaico;ET nÂ°1 de 4 - Otto Krause FV I;On-Grid;1000 Wp;8 paneles de 125 Wp c/u de tecnologia Silicio Policristalino;1550;0.72;Av. Paseo Colón;MONSERRAT;Comuna 1
102;Público;Solar Fotovoltaico;Polo Educativo Maria Elena Walsh;;10000 Wp;38 paneles de 270 Wp de tecnología silicio policristalino.;15510;7.17;Calle 10;;
103;Público;Solar Térmico;Polo Educativo Maria Elena Walsh;;900lts;3 Sistemas solares térmicos de 300 lts c/u;17190;4.59;Calle 10;;
104;Privado;Solar Fotovoltaico;SAESA;;1890 Wp;6 paneles solares de 315 Wp, conectado a un inversor SMA Sunny Boy 1.5 1VL-40;2930;1.35;Montevideo;RECOLETA;Comuna 2
105;Público;Solar Fotovoltaico;Edificio Puerto Nuevo AGP;On-Grid;1014000 Wp;312 paneles de tecnología Silicio Policristalino, conectados a 3 inversores SMA.;157300;72.69;Av. Tomás Alva Edison;;
106;Privado;Solar Fotovoltaico;BSM- Next Bustamante;;6200 Wp;18 paneles de Silicio Policristalino de 330 Wp c/u;9620;4.44;Sánchez de Bustamante;RECOLETA;Comuna 2
107;Privado;Solar Fotovoltaico;Paralelo Solar;Off-Grid;1980 Wp;6 Paneles de Silicio Policristalino;3070;1.42;Larrazabal;MATADEROS;Comuna 9
108;Privado;Solar Fotovoltaico;Colegio La Salle;;25750 Wp;96 paneles de Silicio Policristalino de 265 Wp c/u. Conectados a un Inversor SMA Sunny Tripower 25000TL-30;39940;18.46;Ayacucho;BALVANERA;Comuna 3
109;Privado;Solar Fotovoltaico;Calle Cosquin;Off-Grid;560 Wp;2 Paneles solares de Silicio Policristalinos de 260 Wp c/u. Conectadas a bateria de Plomo Acido;870;0.4;;;
110;Privado;Solar Fotovoltaico;RyA;;14790 Wp;;22940;10.6;Mariano Acha;VILLA ORTUZAR;Comuna 15
111;Público;Solar Fotovoltaico;CIFA Primer Periodo;On-Grid;4800 Wp;24 Paneles de Silicio Policristalino de 200 Wp c/u, conectados a 1 inversor trifásico SMA Sunnyboy 5kW.;7450;3.44;Av. Castañares;VILLA SOLDATI;Comuna 8
112;Público;Solar Fotovoltaico;Centro de Trasbordo - Chacarita;On-Grid;34200 Wp;114 paneles de silicio Policristalinos de 300 Wp c/u. Para el uso de cargadores en los Centros de transbordo.;53050;24.52;Av. Federico Lacroze;CHACARITA;Comuna 15
113;Público;Solar Térmico;RB-M1-C1 - Rodrigo Bueno;;1400 lts;7 captadores de tubos de vacío termo sifónicos, con tanques de acumulación de 200 lts c/u.;26740;7.14;;;
114;Público;Solar Térmico;RB-M1-C2 - Rodrigo Bueno;;1400 lts;7 captadores solares de tubos de vacío termo sifónicos con un termotanque de 200 litros c/u.;26740;7.14;;;
115;Público;Solar Térmico;RB-M1-C3 - Rodrigo Bueno;;1600 lts;8 captadores solares termicos termo sifónicos con un almacenamiento de 200 litros c/u.;30560;8.16;;;
116;Público;Solar Térmico;RB-M1-C4 - Rodrigo Bueno;;1600 lts;8 captadores de tubos de vacío termo sifónicos con acumulación de 200 litros c/u.;30560;8.16;;;
117;Público;Solar Térmico;RB-M2-C1 - Rodrigo Bueno;;1200 lts;4 captadores de placa plana con almacenamiento de 300 litros c/u.;22920;6.12;;;
118;Público;Solar Térmico;RB-M2-C2 - Rodrigo Bueno;;1500 lts;5 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;28650;7.65;;;
119;Público;Solar Térmico;RB-M2-C3 - Rodrigo Bueno;;1500 lts;5 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;28650;7.65;;;
120;Público;Solar Térmico;RB-M2-C4 - Rodrigo Bueno;;1800;6 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;34380;9.18;;;
121;Público;Solar Térmico;RB-M2-C5 - Rodrigo Bueno;;1500 lts;5 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;28650;7.65;;;
122;Público;Solar Térmico;RB-M2-C6 - Rodrigo Bueno;;1800;6 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;34380;9.18;;;
123;Público;Solar Térmico;RB-M2-C7 - Rodrigo Bueno;;1200 lts;4 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;22920;6.12;;;
124;Público;Solar Térmico;RB-M2-C8 - Rodrigo Bueno;;1500 lts;5 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;28650;7.65;;;
125;Público;Solar Térmico;RB-M3-C1 - Rodrigo Bueno;;1200 lts;4 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;22920;6.12;;;
126;Público;Solar Térmico;RB-M3-C2 - Rodrigo Bueno;;1500 lts;5 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;28650;7.65;;;
127;Público;Solar Térmico;RB-M3-C3 - Rodrigo Bueno;;1200 lts;4 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;22920;6.12;;;
128;Público;Solar Térmico;RB-M3-C4 - Rodrigo Bueno;;1500 lts;5 colectores solares de placa plana termo sifónicos con almacenamiento de 300 litros c/u.;28650;7.65;;;
129;Público;Solar Térmico;RB-M4-C1 - Rodrigo Bueno;;1200 lts;6 colectores de tubos de vacío termo sifónicos con almacenamiento de 200 litros c/u.;22920;6.12;;;
130;Público;Solar Térmico;RB-M4-C2 - Rodrigo Bueno;;1200 lts;6 colectores de tubos de vacío termo sifónicos con almacenamiento de 200 litros c/u.;22920;6.12;;;
131;Público;Solar Térmico;RB-M4-C3 - Rodrigo Bueno;;1200 lts;6 colectores de tubos de vacío termo sifónicos con almacenamiento de 200 litros c/u.;22920;6.12;;;
132;Público;Solar Térmico;RB-M4-C4 - Rodrigo Bueno;;1200 lts;6 colectores de tubos de vacío termo sifónicos con almacenamiento de 200 litros c/u.;22920;6.12;;;
133;Público;Solar Térmico;RB-M4-C5 - Rodrigo Bueno;;1000 lts;5 colectores de tubos de vacío termo sifónicos con almacenamiento de 200 litros c/u.;19100;5.1;;;
134;Público;Solar Térmico;RB-M4-C6 - Rodrigo Bueno;;1000 lts;5 colectores de tubos de vacío termo sifónicos con almacenamiento de 200 litros c/u.;19100;5.1;;;
135;Público;Solar Térmico;RB-M5A-C1 - Rodrigo Bueno;;1500;5 colectores de placa plana termosifónicos con almacenamiento de 300 litros c/u;28650;7.65;;;
136;Público;Solar Térmico;RB-M5A-C2 - Rodrigo Bueno;;900 lts;3 colectores de placa plana termosifónicos de 300 litros cada uno.;17190;4.59;;PUERTO MADERO;Comuna 1
137;Público;Solar Térmico;RB-M5A-C3 - Rodrigo Bueno;;1500 lts;5 colectores de placa plana termosifónicos de 300 litros cada uno.;28650;7.65;;BOCA;Comuna 4
138;Público;Solar Térmico;RB-M5A-C4 - Rodrigo Bueno;;2100;7 colectores de placa plana termosifónicos de 300 litros cada uno.;40110;10.71;;PUERTO MADERO;Comuna 1
139;Público;Solar Térmico;RB-M5A-C5a - Rodrigo Bueno;;900 lts;3 colectores de placa plana termosifónicos de 300 litros cada uno.;17190;4.59;;BOCA;Comuna 4
