id_techo;tipo_edificio;tipo_techo;edificio;tipo_sistema;capacidad;caracteristicas;generacion_anual_de_energia;huella_de_carbono_anual_evidata;calle;barrio;comuna
400;Privado;Solar Fotovoltaico;PM-YPF-C02-BS;Off-Grid;;6 paneles, visibles desde la calle.;3100;1.43;;;
401;Privado;Solar Fotovoltaico;PM-YPF-D01-BS;Off-Grid;5280 Wp;16 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);8190;3.78;;;
402;Privado;Solar Fotovoltaico;PM-YPF-D02-BS;Off-Grid;2640 Wp;8 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);4100;1.89;;;
403;Privado;Solar Fotovoltaico;PM-YPF-E01-BS;Off-Grid;;;7140;3.3;;;
404;Privado;Solar Fotovoltaico;PM-YPF-E02-BS;Off-Grid;;;7140;3.3;;;
405;Privado;Solar Fotovoltaico;PM-YPF-E03-BS;Off-Grid;;;7140;3.3;;;
406;Privado;Solar Fotovoltaico;PM-YPF-E04-BS;Off-Grid;;;7680;3.55;;;
407;Privado;Solar Fotovoltaico;PM-YPF-E05-BS;Off-Grid;;;7680;3.55;;;
408;Privado;Solar Fotovoltaico;PM-YPF-E06-BS;Off-Grid;;;7680;3.55;;;
409;Privado;Solar Fotovoltaico;PM-YPF-C1-BS;Off-Grid;;;4100;1.89;;;
410;Privado;Solar Fotovoltaico;PM-YPF-C2-BS;Off-Grid;;;4100;1.89;;;
411;Privado;Solar Fotovoltaico;PM-YPF-C3-BS;Off-Grid;;;4100;1.89;;;
412;Privado;Solar Fotovoltaico;PM-YPF-C4-BS;Off-Grid;;;2050;0.95;;;
413;Privado;Solar Fotovoltaico;PM-YPF-C5-BS;Off-Grid;;;4100;1.89;;;
414;Privado;Solar Fotovoltaico;PM-YPF-C6-BS;Off-Grid;;;2050;0.95;;;
415;Privado;Solar Fotovoltaico;Particular - Villa Urquiza 1;;2400 Wp;Visible desde la calle;3720;1.72;;;
416;Privado;Solar Fotovoltaico;Fundación Vida Silvestre;On-Grid;7 KW;Usuario Generador;10860;5.02;Defensa;MONSERRAT;Comuna 1
417;Público;Solar Fotovoltaico;Arborea Magna;Off-Grid;4500 Wp;En el Parque de Innovación hay en su interior una escultura diseñada con temática ambiental. La escultura se erige con  sus 34 metros de altura representando el tronco, ramas y sus 754 lamparas led de colores sincronizadas que simbolizan sus hojas. La iluminación se alimenta desde una pérgola con  10 paneles solares de 450 Wp.;6980;3.23;;;
418;Privado;Solar Fotovoltaico;La Caja- Sede Central;On-Grid;20000 Watts;El edificio Central de seguros La Caja tiene una pérgola de 40 paneles solares cada uno de 435 W, sumando una potencia total de 20.000 Watts Pico. Sirven para la carga de vehículos con motorización eléctrica.;31030;14.34;;;
419;Privado;Solar Fotovoltaico;Entis Residencia Universitaria;On-Grid;4500 Watts;La residencia universitaria posee en su terraza una pérgola con 10 paneles solares de silicio monocristalinos de una capacidad c/u de 450 Watt pico.;6980;3.23;;;
420;Privado;Solar Fotovoltaico;Hibrido San Telmo;On-Grid;4500 Watts;Esta instalación particular posee 10 paneles de 450 Watt cada uno de Silicio monocristalino, con una inclinación ideal de 30Â°. El arreglo de paneles está conectada a un inversor híbrido Voltronic de 5000 Watt que alimenta a 4 baterías Renogen con capacidad c/u de 200 Ah.;5970;2.76;;;
