ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ENSAMBLE ORQUESTAL DE PARIS CORO ACCENTUS/ARRIENDO;;03/10/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ENSAMBLE ORQUESTAL DE PARIS CORO ACCENTUS/ARRIENDO;;04/10/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ORQUESTA FILARMONICA DE LIEJA/ARRIENDO;;24/10/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ORQUESTA FILARMONICA DE LIEJA/ARRIENDO;;25/10/2011; 20:30 hs;
2011;ARRIENDOS;ORQUESTA SINFONICA DE SALTA;CANCELADA;;27/05/2011;S/D;
2011;ARRIENDOS;ABONO DAIA;ABONO DAIA/ORQ. FESTIVAL LLAO LLAO/ARRIENDO;;22/08/2011; 20:30 hs;
2011;ARRIENDOS;ABONO DAIA;ABONO DAIA/HORACIO LAVANDERA/ARRIENDO;;24/09/2011; 20:30 hs;
2011;ARRIENDOS;ABONO DAIA;ABONO DAIA/OFBA/ARRIENDO;;02/10/2011; 20:30 hs;
2011;ARRIENDOS;CORO UNIVERSIDAD NACIONAL DE MENDOZA;CORO UNIVERSIDAD NACIONAL DE MENDOZA/CONVENIO;2684;13/08/2011; 20:30 hs;
2011;ARRIENDOS;CORO UNIVERSIDAD NACIONAL DE MENDOZA;COLLEGIUM MUSICUM 65 ANIVERSARIO/CONVENIO;2662;20/08/2011; 18:00 hs;
2011;ARRIENDOS;NUOVA HARMONIA;NUOVA HARMONIA/ORQUESTA SINFONICA DE SAN PETERSBURGO/ARRIENDO;;29/10/2011; 20:30 hs;
2011;ARRIENDOS;NUOVA HARMONIA;ASOCIACION DE MEDICOS MUNICIPALES;1297;31/10/2011; 20:30 hs;
2011;ARRIENDOS;NUOVA HARMONIA;EXPERIENCIA ADN LA NACION;;21/11/2011; 20:30 hs;
2011;FUERA DE PROGRAMACION;"ORQUESTA ""L 'ARTE DEL MONDO""";;1099;16/05/2011; 20:30 hs;
2011;FUERA DE PROGRAMACION;"ORQUESTA ""L 'ARTE DEL MONDO""/PLAZA SAN MARTIN/M. CULTURA";;;19/05/2011; 13:00 hs;
2011;FUERA DE PROGRAMACION;"ORQUESTA ""L 'ARTE DEL MONDO""/GRATUITA";;2028;22/05/2011; 11:00 hs;
2011;FUERA DE PROGRAMACION;CAMERATA BARILOCHE/GRATUITA;;2028;01/07/2011; 11:00 hs;
