medicion;fecha;med_id_bolsa;comuna;direccion_contenedor;latitud;longitud;peso_neto_kg;origen;clasificacion;1_s1;2_s1;3_s1;4_s1;5_s1;6_s1;7_s2;8_s2;9_s2;10_s2;11_s2;12_s3;13_s3;14_s3;suma
2022-M3;2022-12-26;22m3-1395;8;Leguizamon, Martiniano 4641;-3468137741;-58,4716301;2.275;Residencial;Separa;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2022-M3;2022-11-24;22m3-1044;4;Caseros Av. 2431;-3463541794;-58,39620972;2.705;Residencial;No Separa;1;0;0;0;1;0;0;2;0;0;0;1;0;1;6
2022-M3;2022-11-25;22m3-1068;4;Ochoa, Enrique 769;-3465433884;-58,41320801;4.43;Residencial;No Separa;0;0;0;0;0;0;0;0;2;1;0;1;0;0;4
2022-M3;2022-12-01;22m3-1117;11;Santo Tome 3165;-3460667038;-58,49018097;0.785;Residencial;No Separa;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
2022-M3;2022-12-01;22m3-1121;11;Tinogasta 3648;-3460334015;-58,50045013;1.99;Residencial;No Separa;0;0;1;0;1;0;0;0;0;0;0;0;2;0;4
2022-M3;2022-12-06;22m3-2168;15;Moran, Pedro 2947;-345921636;58,4973127;1.185;Residencial;No Separa;1;0;0;0;3;0;0;0;0;0;2;0;0;0;6
2022-M3;2022-12-22;22m3-1343;13;Cramer Av. 1786;-3456777101;-58,45885701;1.65;Residencial;No Separa;0;0;1;0;1;0;0;0;2;1;0;0;0;1;6
2022-M3;2022-12-26;22m3-1396;8;Cafayate 4900;-3468425751;-58,46915817;3.255;Residencial;No Separa;1;0;0;0;1;0;0;3;0;4;0;0;1;0;10
2022-M3;2022-11-23;22m3-1019;3;Rincon 475;-3461486053;-58,39619827;3.7;Residencial;No Separa;1;0;0;0;0;0;0;1;1;0;0;0;0;0;3
2022-M3;2022-11-24;22m3-1028;3;Sarandi 920;-3461990738;-58,39453888;2.63;Residencial;No Separa;0;0;2;0;0;0;0;0;0;1;0;0;0;0;3
2022-M3;2022-11-24;22m3-1038;4;Caseros Av. 2428;-3463541794;-58,39620972;7.66;Residencial;No Separa;0;0;1;0;1;0;0;0;0;0;0;1;0;0;3
2022-M3;2022-11-24;22m3-1023;3;Humberto 1  3229;-3462376022;-58,41085815;5.89;Residencial;No Separa;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2
2022-M3;2022-11-24;22m3-1042;4;Jujuy Av. 1707;-3463022995;-58,40089035;13.68;Residencial;No Separa;0;0;2;0;0;0;0;0;0;0;2;0;1;1;6
2022-M3;2022-11-29;22m3-1089;9;Ca Ada De Gomez 1411;-3465307073;-58,5116583;1.47;Residencial;No Separa;1;0;0;0;0;0;0;2;0;0;1;0;0;0;4
2022-M3;2022-11-29;22m3-1086;9;Patron 6445;-3464812088;-58,51549149;1.28;Residencial;No Separa;1;0;0;0;2;0;0;0;0;0;0;0;0;0;3
2022-M3;2022-11-29;22m3-1092;9;Zelada 7160;-34656922;-58,5138161;6.79;Residencial;No Separa;1;0;0;0;0;1;0;0;0;0;0;1;0;0;3
2022-M3;2022-11-30;22m3-1102;10;Santo Tome 4451;-3461444443;-58,5045883;1.72;Residencial;No Separa;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-01;22m3-1122;11;Llavallol 4953;-34586906;-58,51034257;0.708;Residencial;No Separa;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-01;22m3-1133;11;Segui, F. J., Alte. 1959;-3460445023;-58,46253967;1.75;Residencial;Separa;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
