nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
Congreso Internacional Medestética 2019,CONGRESOS Y CONVENCIONES,2019-08-15,2019-08-17
42º Congreso Anual de la Asociación Argentina de Alergia e Inmunología Clínica,CONGRESOS Y CONVENCIONES,2019-08-15,2019-08-17
1ª Jornada de Recursos Humanos,CONGRESOS Y CONVENCIONES,2019-08-15,2019-08-15
Encuentro Tecnológico ALAS,CONGRESOS Y CONVENCIONES,2019-08-16,2019-08-16
28ª Feria Caza Pesca y Outdoors,FERIAS Y EXPOSICIONES,2019-08-17,2019-08-25
73º Congreso Argentino de Bioquímica,CONGRESOS Y CONVENCIONES,2019-08-20,2019-08-23
25ª Jornadas de Epistemología de las Ciencias Económicas,CONGRESOS Y CONVENCIONES,2019-08-20,2019-08-22
Congress and General Meeting of the International Bobath Instructions Training Association IBITA,CONGRESOS Y CONVENCIONES,2019-08-21,2019-08-24
BAFWEEK 2019,FERIAS Y EXPOSICIONES,2019-08-21,2019-08-24
6ª Jornadas Multidisciplinarias del Hospital Pirovano,CONGRESOS Y CONVENCIONES,2019-08-21,2019-08-23
"2º Congreso Mundial ""Infancia sin Violencia"" 2019",CONGRESOS Y CONVENCIONES,2019-08-21,2019-08-23
XIX International Symposium on Neglected Diseases   XIX Simposio Internacional sobre Enfermedades Desatendidas,CONGRESOS Y CONVENCIONES,2019-08-21,2019-08-22
Congreso de la Sociedad Iberoamericana de Intervencionismo - SIDI 2019,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-24
Congreso Argentino de Diagnóstico por Imágenes - CADI 2019,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-24
Congreso SIDI 2019,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-24
XVII Congreso Latinoamericano de Rorschach y otras Técnicas Proyectivas,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-24
Jornadas de la Región Metropolitana de la SAP,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-23
Congreso de la Sociedad Argentina de Cirugía Digestiva,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-23
Jornadas Internacionales Educar en la Realidad,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-23
13ª Jornadas de la Región Metropolitana de la SAP,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-23
Expo Real Estate 2019,FERIAS Y EXPOSICIONES,2019-08-22,2019-08-23
Congreso Argentino de Auditores y Gerentes de Salud,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-22
Congreso Internacional de Felicidad en el Trabajo,CONGRESOS Y CONVENCIONES,2019-08-22,2019-08-22
4to Simposio de Actualización en Perfusión Cardiovascular - Región Cono Sur,CONGRESOS Y CONVENCIONES,2019-08-23,2019-08-24
Jornada Internacional de la Sociedad Argentina de Psicoinmunoneuroendocrinología - SAPINE,CONGRESOS Y CONVENCIONES,2019-08-23,2019-08-23
2º Congreso FIAF de Filatelia Tradicional e Historia Postal,CONGRESOS Y CONVENCIONES,2019-08-26,2019-08-31
Exposición Continental FIAF,FERIAS Y EXPOSICIONES,2019-08-26,2019-08-31
13ª Jornadas de Sociología UBA,CONGRESOS Y CONVENCIONES,2019-08-26,2019-08-30
18th Regional Alumni Symposium,CONGRESOS Y CONVENCIONES,2019-08-26,2019-08-29
Jornadas de Iustitia et Iure,CONGRESOS Y CONVENCIONES,2019-08-26,2019-08-28
American Association of Petroleum Geologists International Conference & Exhibition - AAGP 2019  AAPG ICE 2019,CONGRESOS Y CONVENCIONES,2019-08-27,2019-08-30
Jornada de Vida Independiente,CONGRESOS Y CONVENCIONES,2019-08-27,2019-08-27
IV Encuentro Internacional de Esquizoanálisis,CONGRESOS Y CONVENCIONES,2019-08-28,2019-09-01
Expo Ferretera en conjunto con ExpoCehap y Expomant,FERIAS Y EXPOSICIONES,2019-08-28,2019-08-31
"Argentina Franquicias - Exposición internacional de franquicias, licencias, emprendimientos y negocios.",FERIAS Y EXPOSICIONES,2019-08-28,2019-08-30
V Jornada Internacional de Investigadores en Aprendizaje-servicio,CONGRESOS Y CONVENCIONES,2019-08-28,2019-08-28
Bada- Boutique de arte -Directo de artista,FERIAS Y EXPOSICIONES,2019-08-29,2019-09-01
9ª Jornadas Nacionales de Diabetes,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-31
8º Congreso Latinoamericano de Logoterapia y Análisis Existencial FUCLAE,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-31
Jornadas Anuales de Propiedad Industrial,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-30
Congreso de Mantenimiento Hospitalario,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-30
Seminario Internacional Aprendizaje y Servicio Solidario CLAYSS,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-30
3º Coloquio Bizantino de la UBA,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-30
EcommerceDay,CONGRESOS Y CONVENCIONES,2019-08-29,2019-08-29
XIII Jornadas LACAN en IPA,CONGRESOS Y CONVENCIONES,2019-08-30,2019-08-31
Jornada Dos días con la Ortopedia Funcional y la Ortodoncia,CONGRESOS Y CONVENCIONES,2019-08-30,2019-08-31
Encuentro Nacional de Estudiantes de Traducción,CONGRESOS Y CONVENCIONES,2019-08-31,2019-08-31
14º Congreso Argentino e Internacional de Mastología,CONGRESOS Y CONVENCIONES,2019-09-01,2019-09-03
6ª Jornadas de Estudios Afrolatinoamericanos,CONGRESOS Y CONVENCIONES,2019-09-02,2019-09-04
"21º Congreso Argentino de Neuropsiquiatría y Neurociencia Cognitiva  17º Congreso Latinoamericano de Neuropsiquiatría  X Congreso Argentino de Psicogeriatría   ******El ""Latinoamericano TAMBIEN es LOCAL"" **********",CONGRESOS Y CONVENCIONES,2019-09-02,2019-09-04
Hotelga 2019,FERIAS Y EXPOSICIONES,2019-09-03,2019-09-05
AATS Cardiovascular Valve Symposium,CONGRESOS Y CONVENCIONES,2019-09-04,2019-09-06
17º Congreso Argentino de Medicina Transfusional,CONGRESOS Y CONVENCIONES,2019-09-04,2019-09-06
Argentina Wind Power,FERIAS Y EXPOSICIONES,2019-09-04,2019-09-05
BA Photo 2019,FERIAS Y EXPOSICIONES,2019-09-05,2019-09-08
Ayn Rand Con 2019,CONGRESOS Y CONVENCIONES,2019-09-05,2019-09-07
1º Congreso Argentino de la Sociedad Argentina de Embriología Clínica,CONGRESOS Y CONVENCIONES,2019-09-05,2019-09-06
World Phonosurgery Congress 2019 Congreso Mundial de la Voz,CONGRESOS Y CONVENCIONES,2019-09-05,2019-09-06
Expo Manos y Uñas 2019,FERIAS Y EXPOSICIONES,2019-09-07,2019-09-09
20th World Congress of the International Society on Toxinology  20º Congreso Mundial de la Sociedad Internacional de Toxinología IST,CONGRESOS Y CONVENCIONES,2019-09-08,2019-09-13
Congreso Mundial Art Déco 2019,CONGRESOS Y CONVENCIONES,2019-09-08,2019-09-10
14th World Congress of Semiotics IASS AIS  14º Congreso Mundial de Semiótica,CONGRESOS Y CONVENCIONES,2019-09-09,2019-09-13
IFPA 2019 & SLIMP 2019 International Federation of Placenta Associations  AND 8th Latin American Symposium on Maternal-Fetal Interaction and Placenta VIII SLIMP  (**en Icca están validados como 2 eventos **) -SON-2-EVENTOS-,CONGRESOS Y CONVENCIONES,2019-09-10,2019-09-13
Envase Alimentek 2019,FERIAS Y EXPOSICIONES,2019-09-10,2019-09-13
ExpoFybi 2019,FERIAS Y EXPOSICIONES,2019-09-10,2019-09-13
7th Seed Congress of the Americas 7mo Congreso de Semillas de las Americas,CONGRESOS Y CONVENCIONES,2019-09-10,2019-09-12
Oil & Gas Council South America Assembly,CONGRESOS Y CONVENCIONES,2019-09-10,2019-09-11
"SECEC-ESSSE Congress 2019 
29th Congress of the European Society for Surgery of the Shoulder and the Elbow",CONGRESOS Y CONVENCIONES,2019-09-10,2019-09-11
Nanomercosur 2019,CONGRESOS Y CONVENCIONES,2019-09-10,2019-09-10
III Congreso Internacional de Geografía Urbana III CIGU,CONGRESOS Y CONVENCIONES,2019-09-11,2019-09-14
Congreso Internacional FOUBA,CONGRESOS Y CONVENCIONES,2019-09-11,2019-09-14
BIEL Light + Building Buenos Aires,FERIAS Y EXPOSICIONES,2019-09-11,2019-09-14
12º Simposio Argentino de Ficología,CONGRESOS Y CONVENCIONES,2019-09-11,2019-09-12
Universidad y Empleo 2019,FERIAS Y EXPOSICIONES,2019-09-11,2019-09-11
Conferencia Latinoamericana de Psicología Positiva Aplicada,CONGRESOS Y CONVENCIONES,2019-09-12,2019-09-14
Exposición de Videojuegos Argentina EVA 2019,FERIAS Y EXPOSICIONES,2019-09-12,2019-09-14
7ª Jornadas de Historia de la Industria y los Servicios,CONGRESOS Y CONVENCIONES,2019-09-12,2019-09-12
Congreso Nacional de Cirugía Estética y Láser,CONGRESOS Y CONVENCIONES,2019-09-13,2019-09-14
3º Seminario Internacional sobre los Oficios del Lazo,CONGRESOS Y CONVENCIONES,2019-09-13,2019-09-14
Muestra Música 2019,FERIAS Y EXPOSICIONES,2019-09-14,2019-09-15
IAP XXIV Conferencia Anual Internacional de la Asociación Internacional de Fiscales  XXIV International Annual Conference of the International Association of Prosecutors  24th Annual Conference and General Meeting,CONGRESOS Y CONVENCIONES,2019-09-15,2019-09-19
"VII Seminario Internacional ""Ciudad, Comercio y Consumo""",CONGRESOS Y CONVENCIONES,2019-09-16,2019-09-21
ICSES 2019  14º International Congress of Shoulder and Elbow Therapists (ICSET) Congreso Internacional de Hombro y Codo,CONGRESOS Y CONVENCIONES,2019-09-17,2019-09-20
Congreso ACARO,CONGRESOS Y CONVENCIONES,2019-09-18,2019-09-20
4º Congreso ITI Buenos Aires,CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-21
International Symposium for Next Generation Infrastructure (ISNGI 2019),CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-20
Congreso de Epilepsia,CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-20
II Congreso Internacional de DIFNE Argentina,CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-20
10° Congreso Iberoamericano CIDEC 2019,CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-20
2º Simposio de la Asociación Argentina de Radiocirugía,CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-20
Foro Latinoamericano de Innovación Financiera,CONGRESOS Y CONVENCIONES,2019-09-19,2019-09-19
Expo AICACYP Aire Libre 2019,FERIAS Y EXPOSICIONES,2019-09-20,2019-09-22
"XXXV Congreso Latinoamericano de Anestesiologia - XXX Asamblea Ordinaria de CLASA  + (  4to Encuentro Internacional de Residentes, este es NACIONAL)",CONGRESOS Y CONVENCIONES,2019-09-21,2019-09-24
"Congreso de Capacitación y Actualización para Dietéticas, Herboristerías, Almacenes Naturales y Profesionales de la Nutrición",CONGRESOS Y CONVENCIONES,2019-09-21,2019-09-22
Expo Dieteticactiva 2019,FERIAS Y EXPOSICIONES,2019-09-21,2019-09-22
"4º Congreso Latinoamericano y 6º Nacional de Seguridad, Salud Ocupacional y Ambiente en la industria de los Hidrocarburos",CONGRESOS Y CONVENCIONES,2019-09-23,2019-09-26
ISL XXVII World Congress Lymphology 2019,CONGRESOS Y CONVENCIONES,2019-09-23,2019-09-26
AOG Expo 2019- 12ª Exposición Internacional del Petroleo y Gas,FERIAS Y EXPOSICIONES,2019-09-23,2019-09-26
XII Argentina Oil & Gas Expo,FERIAS Y EXPOSICIONES,2019-09-23,2019-09-26
Encuentro Global de Alineamiento 2019,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-28
XXI Encuentro de la Red BibliotecasJuriRed y la XIV Jornada de la Asociación Civil de Bibliotecarios Jurídicos – ACBJ,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-27
Foro alooh! LATAM Asociación Latinoamericana Out of Home,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-27
Ekoparty,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-27
39 Congreso de la Sociedad Argentina Ortopedia y Traumatología Infantil  SAOTI,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-27
"15º Congreso Argentino de Microbiología CAM 2019  XIV Congreso Argentino de Microbiología General XIV SAMIGE  V Congreso Argentino de Microbiología de Alimentos V CAMA  y  V Congreso Latinoamericano de Microbiología de Medicamentos y Cosméticos CL AME 2019   *******todo este es NACIONAL*****el ""Latinoamericano también***",CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-27
Expo Medical 2019,FERIAS Y EXPOSICIONES,2019-09-25,2019-09-27
Encuentro Internacional de Conservación y Restauración del Patrimonio,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-26
Jornadas Internacionales ATVC 2019,CONGRESOS Y CONVENCIONES,2019-09-25,2019-09-26
Conferencia Anual de la Bolsa de Comercio de Buenos Aires,CONGRESOS Y CONVENCIONES,2019-09-26,2019-09-26
28° SIMI 2019 Semana del Intervencionismo Mínimamente Invasivo  III Buenos Aires Stroke Summit,CONGRESOS Y CONVENCIONES,2019-09-28,2019-09-30
15 Inter American Congress of Electron Microscopy CIASEM 2019  15º Congreso Interamericano de Microcoscopía CIASEM SAMIC,CONGRESOS Y CONVENCIONES,2019-10-01,2019-10-04
VIII Congreso Internacional de Psicología del Deporte y XIVJornadas Nacionales de Psicología del Deporte,CONGRESOS Y CONVENCIONES,2019-10-02,2019-10-05
XXXVIII Congreso de la Confederación Americana de Urología CAU ****EN CONJUNTO CON******* LVI Congreso de la Sociedad Argentina de Urología SAU    ( y con el XXIV Congreso de la Sociedad Iberoamericana de Urología Pediatría SIUP que tiene la misma rotacion del principal CAU y no esta en Icca),CONGRESOS Y CONVENCIONES,2019-10-02,2019-10-05
Congreso Argentino de Soporte Nutricional y Metabolismo,CONGRESOS Y CONVENCIONES,2019-10-02,2019-10-04
Expo Consorcios y Garage,FERIAS Y EXPOSICIONES,2019-10-02,2019-10-03
GBTA Conferencia 2019,CONGRESOS Y CONVENCIONES,2019-10-02,2019-10-02
Simposio Anual APDEBA,CONGRESOS Y CONVENCIONES,2019-10-03,2019-10-05
XLV Instituto Rotario Zona 23 B & C,CONGRESOS Y CONVENCIONES,2019-10-03,2019-10-05
Seminario Internacional Políticas de La Memoria,CONGRESOS Y CONVENCIONES,2019-10-03,2019-10-05
24º Simposio Internacional de Cirugía Plástica Siglo XXI,CONGRESOS Y CONVENCIONES,2019-10-03,2019-10-04
Vinos y Bodegas,FERIAS Y EXPOSICIONES,2019-10-03,2019-10-04
Sport Biz Latam Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-10-03,2019-10-03
FIT 2019 - Feria Internacional del Turismo de América Latina,FERIAS Y EXPOSICIONES,2019-10-05,2019-10-08
4° Encuentro Latinoaméricano de Mentalismo - LMENTAL 2019,CONGRESOS Y CONVENCIONES,2019-10-05,2019-10-06
23º Congreso Latinoamericano de Folklore del Mercosur  y Congreso Universitario Internacional de Tango Argentino,CONGRESOS Y CONVENCIONES,2019-10-07,2019-10-11
13º Simposio Argentino de Polímeros,CONGRESOS Y CONVENCIONES,2019-10-08,2019-10-11
Conferencia Internacional de la International Colour Association  AIC Midterm Meeting,CONGRESOS Y CONVENCIONES,2019-10-08,2019-10-10
Congreso Latinoamericano de Técnicas de Investigación Criminal COLTIC,CONGRESOS Y CONVENCIONES,2019-10-09,2019-10-11
7º Congreso de Ciencias Ambientales COPIME 2019,CONGRESOS Y CONVENCIONES,2019-10-09,2019-10-11
10th ILA General Assembly and Information Exchange Forum,CONGRESOS Y CONVENCIONES,2019-10-09,2019-10-11
34ª Jornadas Nacionales y 41ª Internacionales de Hidatidología,CONGRESOS Y CONVENCIONES,2019-10-09,2019-10-09
Foro Compliance,CONGRESOS Y CONVENCIONES,2019-10-10,2019-10-10
5º Congreso Argentino de Recursos Humanos,CONGRESOS Y CONVENCIONES,2019-10-10,2019-10-10
1ª Jornadas Psicoenergéticas Internacionales,CONGRESOS Y CONVENCIONES,2019-10-11,2019-10-17
90º Congreso Argentino de Cirugía,CONGRESOS Y CONVENCIONES,2019-10-12,2019-10-17
International Investment Funds Conference IIFA 2019,CONGRESOS Y CONVENCIONES,2019-10-12,2019-10-16
Expo Estética,FERIAS Y EXPOSICIONES,2019-10-12,2019-10-14
Congreso Internacional de fotografía Baby and Kid Argentina 2019,CONGRESOS Y CONVENCIONES,2019-10-12,2019-10-13
6to Simposio Mundial de Células Madre y Medicina Regenerativa 6th International Regenerative Medicine Symposium,CONGRESOS Y CONVENCIONES,2019-10-12,2019-10-12
"Expo Peluquerías, Estética & Belleza",FERIAS Y EXPOSICIONES,2019-10-13,2019-10-14
AIC 2019 Midterm Meeting Color and Landscape,CONGRESOS Y CONVENCIONES,2019-10-14,2019-10-17
Bienal Internacional de Arquitectura de Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-10-15,2019-10-26
30º Congreso Latinoamericano de Arquitectura e Ingenieria Hospitalaria,CONGRESOS Y CONVENCIONES,2019-10-15,2019-10-18
44° Congreso Argentino de Cirugía de la Mano,CONGRESOS Y CONVENCIONES,2019-10-16,2019-10-18
Pre-Congreso ICBA 2019,CONGRESOS Y CONVENCIONES,2019-10-16,2019-10-16
"5º Congreso Internacional de Dermatología Pediátrica  en conjunto con  XIV Congreso Argentino de Dermatología Pediátrica, IV Encuentro Internacional de Genodermatosis y Epidermólisis Ampollar",CONGRESOS Y CONVENCIONES,2019-10-17,2019-10-19
45º Congreso Argentino de Cardiología,CONGRESOS Y CONVENCIONES,2019-10-17,2019-10-19
17º Workshop CAIDBA,CONGRESOS Y CONVENCIONES,2019-10-17,2019-10-19
Encuentro Nacional de Jóvenes Comprometidos con el Medio Ambiente,CONGRESOS Y CONVENCIONES,2019-10-17,2019-10-18
8th InterAmerican Oncology Conference,CONGRESOS Y CONVENCIONES,2019-10-17,2019-10-18
Argentina Game Show 2019,FERIAS Y EXPOSICIONES,2019-10-18,2019-10-20
World Esophageal Experts Summit E20,CONGRESOS Y CONVENCIONES,2019-10-18,2019-10-19
XXI Congreso de la Sociedad Argentina de Endocrinología y Metabolismo,CONGRESOS Y CONVENCIONES,2019-10-21,2019-10-23
27º Congreso Internacional de Psiquiatría,CONGRESOS Y CONVENCIONES,2019-10-22,2019-10-24
17º Congreso Internacional de Gestión del Conocimiento,CONGRESOS Y CONVENCIONES,2019-10-23,2019-10-25
Congreso Anual de la Asociacion Escuela Argentina de Psicoterapia para Graduados,CONGRESOS Y CONVENCIONES,2019-10-24,2019-10-26
XII Congreso Anual de la Asociacion Escuela Argentina de Psicoterapia para Graduados  y XXXII Symposium,CONGRESOS Y CONVENCIONES,2019-10-24,2019-10-26
1º Simposio Internacional Diagnóstico y Tratamiento de Anomalías Vasculares en Pediatría,CONGRESOS Y CONVENCIONES,2019-10-24,2019-10-25
Jornada Anual de la Asociación Psicoanalítica Argentina,CONGRESOS Y CONVENCIONES,2019-10-25,2019-10-26
21º Congreso y Asamblea General Anual de ICPA  21st AGM Annual Conference and General Meeting   ICPA International Corrections & Prisons Association,CONGRESOS Y CONVENCIONES,2019-10-27,2019-11-01
LASDB Meeting 2019 10º International Meeting of the Latin American Society for Developmental Biology,CONGRESOS Y CONVENCIONES,2019-10-28,2019-10-31
Expo CAPER 2019 (Cámara Argentina de Proveedores y Fabricantes de Equipos de Radiodifusión),FERIAS Y EXPOSICIONES,2019-10-29,2019-11-01
"3rd Conference “Dialogues on International Law” 3 ª Conferencia ""Diálogos sobre Derecho Internacional""",CONGRESOS Y CONVENCIONES,2019-10-29,2019-10-29
40ª Jornadas Internacionales de la AOA,CONGRESOS Y CONVENCIONES,2019-10-30,2019-11-02
"Jornadas de Cine, Teatro y Género",CONGRESOS Y CONVENCIONES,2019-10-30,2019-11-01
Reunión Anual de la Asociación Argentina de Osteología y Metabolismo Mineral,CONGRESOS Y CONVENCIONES,2019-10-30,2019-11-01
VIII Congreso de Andrología,CONGRESOS Y CONVENCIONES,2019-10-30,2019-10-31
Jornada CPIC de Ética y Lucha Anticorrupción,CONGRESOS Y CONVENCIONES,2019-10-30,2019-10-30
2019 CPSG Annual Meeting  Annual Meeting of the Conservation Planning Specialist Group,CONGRESOS Y CONVENCIONES,2019-10-31,2019-11-03
LET 2019,CONGRESOS Y CONVENCIONES,2019-10-31,2019-11-01
Alacero 60 Congreso Latinoamericano del Acero ALACERO 2019,CONGRESOS Y CONVENCIONES,2019-11-01,2019-11-13
VI Congreso Latinoamericano de Ergonomìa ULAERGO,CONGRESOS Y CONVENCIONES,2019-11-01,2019-11-04
1º Congreso de Aeroevacuadores,CONGRESOS Y CONVENCIONES,2019-11-01,2019-11-02
XVI World Congress of Arrhythmias WSA  Congreso Mundial de Arritmias,CONGRESOS Y CONVENCIONES,2019-11-02,2019-11-05
15ª Jornadas de Cosmetología y Estética y 11º Congreso Científico y Cultural del Área de Cosmetología,CONGRESOS Y CONVENCIONES,2019-11-02,2019-11-03
70ª Jornadas Rioplatenses Dr. Orestes Sbárbaro,CONGRESOS Y CONVENCIONES,2019-11-02,2019-11-02
74º WAZA Annual Conference   World Association of Zoos and Aquariums  Conferencia Anual de la Asociación Mundial de Zoológicos y Acuarios,CONGRESOS Y CONVENCIONES,2019-11-03,2019-11-07
68º Curso Intensivo de Perfeccionamiento Dermatológico para Graduados “Prof. Dr. Luis E. Pierini”,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-09
IV Congreso de la Asociación Regional para América Latina y el Caribe de la Sociedad Internacional de Musicología  ARLAC IMS,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-09
5ta Conferencia Internacional de Prácticas Dialógicas  5th Conference on Dialogical Practices,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-08
III Congreso Nacional de Arte Rupestre 3CONAR,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-08
11ª Jornadas Interdisciplinarias de Estudios Agrarios y Agroindustriales Argentinos y Latinoamericanos,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-08
XVII Congreso de la Sociedad Latina de Cardiología y Cirugía Cardiovascular Pediátrica,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-08
2019 World Federation for Mental Health World Congress,CONGRESOS Y CONVENCIONES,2019-11-05,2019-11-08
XXXIII Reunión Anual Comité Nacional de Conservación Textil,CONGRESOS Y CONVENCIONES,2019-11-06,2019-11-09
10ª Jornadas de Jóvenes Investigadores del Instituto de Investigaciones Gino Germani,CONGRESOS Y CONVENCIONES,2019-11-06,2019-11-09
39° Seminario Nacional de Enseñanza de la Pediatría,CONGRESOS Y CONVENCIONES,2019-11-06,2019-11-08
El Ojo de Iberoamérica 2019,FERIAS Y EXPOSICIONES,2019-11-06,2019-11-08
Fascial Connection 2019,CONGRESOS Y CONVENCIONES,2019-11-07,2019-11-10
VIII Congreso Internacional de María Auxiliadora,CONGRESOS Y CONVENCIONES,2019-11-07,2019-11-10
FIER - Feria Internacional de Energías Renovables y Sustentabilidad,FERIAS Y EXPOSICIONES,2019-11-07,2019-11-10
Ahora Mamá 2019,FERIAS Y EXPOSICIONES,2019-11-07,2019-11-10
XII Congreso Internacional de Museos Inclusivos  Twelfth International Conference on The Inclusive Museum 2019,CONGRESOS Y CONVENCIONES,2019-11-07,2019-11-09
Jornadas de Salud Ocupacional,CONGRESOS Y CONVENCIONES,2019-11-07,2019-11-08
Feria de las Naciones COAS,FERIAS Y EXPOSICIONES,2019-11-08,2019-11-18
39° Reunión Anual Latinoamericana de Petroquímica APLA,CONGRESOS Y CONVENCIONES,2019-11-09,2019-11-12
X Conferencia Iberoamericana sobre Familias,CONGRESOS Y CONVENCIONES,2019-11-10,2019-11-10
2nd IAA  International Academy of Astronautics Latin American Symposium on Small Satellites: Advanced Technologies and Distributed Systems,CONGRESOS Y CONVENCIONES,2019-11-11,2019-11-15
XXIV Congreso Internacional del CLAD,CONGRESOS Y CONVENCIONES,2019-11-12,2019-11-15
14ª Expo Arte Navideña,FERIAS Y EXPOSICIONES,2019-11-13,2019-11-16
7º Congreso de Enfermedades Endemoepidémicas del Hospital de Infecciosas Francisco J. Muñiz,CONGRESOS Y CONVENCIONES,2019-11-13,2019-11-15
ISTAT Latin America Forum,CONGRESOS Y CONVENCIONES,2019-11-13,2019-11-14
8° Simposio Mercado de Capitales y Finanzas Corporativas,CONGRESOS Y CONVENCIONES,2019-11-13,2019-11-13
2019 Buenos Aires Women in Leadership Symposium,CONGRESOS Y CONVENCIONES,2019-11-14,2019-11-14
Jornadas de EMDRIA de Latinoamérica,CONGRESOS Y CONVENCIONES,2019-11-16,2019-11-17
"5º Congreso Internacional de Clínica Médica y Medicina Interna ,  V Congreso Internacional de Clínica y Medicina Interna, V Congreso Argentino de Clínica Médica y Medicina Interna, XXVII Congreso Nacional de Medicina (SAM), 32ª Congreso Argentino de Medicina Interna (SMIBA), VIII Congreso Internacional de Medicina Hospitalaria, XLIV Jornadas Nacionales de Residencias de Medicina Clínica, X Jornadas Internacionales de Residentes de Medicina Interna",CONGRESOS Y CONVENCIONES,2019-11-19,2019-11-22
"XV Congreso de la Sociedad  Latinoamericana de Aterosclerosis  SOLAT 2019  --------(en conjunto con V Congreso Internacional de Clínica y Medicina Interna, V Congreso Argentino de Clínica Médica y Medicina Interna, XXVII Congreso Nacional de Medicina (SAM), 32ª Congreso Argentino de Medicina Interna (SMIBA), VIII Congreso Internacional de Medicina Hospitalaria,  XLIV Jornadas Nacionales de Residencias de Medicina Clínica, X Jornadas Internacionales de Residentes de Medicina Interna)",CONGRESOS Y CONVENCIONES,2019-11-19,2019-11-21
Jornadas de Historia de las Izquierdas,CONGRESOS Y CONVENCIONES,2019-11-20,2019-11-22
Congreso Iberoamericano de Tecnologías de Apoyo a la Discapacidad -IBERDISCAP -,CONGRESOS Y CONVENCIONES,2019-11-20,2019-11-22
XXI Congreso ALACCTA 2019 21º CongresoLatinoamericano y del Caribe de Ciencias y Tecnología de Alimentos   y XVII Congreso CYTAL 2019 Congreso Argentino de Ciencia y Tecnología de los Alimentos  8vo Simposio Internacional de Nuevas Tecnologías 6º Simposio Latinoamericano sobre Higiene y Calidad de Alimentos  4to Simposio de Innovación en Industrias Alimentarias,CONGRESOS Y CONVENCIONES,2019-11-20,2019-11-22
27º SAGSE 2019,FERIAS Y EXPOSICIONES,2019-11-20,2019-11-22
AIREC week,CONGRESOS Y CONVENCIONES,2019-11-20,2019-11-21
LAWC Latin America Wholesale Congress,CONGRESOS Y CONVENCIONES,2019-11-20,2019-11-21
3º Congreso Argentino de Cirugía de la Pared Abdominal,CONGRESOS Y CONVENCIONES,2019-11-21,2019-11-23
IV Congreso de Cicatrización de Heridas AIACH,CONGRESOS Y CONVENCIONES,2019-11-21,2019-11-22
Buenos Aires Seed Convention BASC,CONGRESOS Y CONVENCIONES,2019-11-21,2019-11-22
5º Congreso de Aspectos Psicológicos de las Obesidades y Trastornos Alimentarios,CONGRESOS Y CONVENCIONES,2019-11-21,2019-11-22
10ª Jornadas Religiones y Espacio Público,CONGRESOS Y CONVENCIONES,2019-11-22,2019-11-24
7ª Jornadas Internacionales de Neurointensivismo  III Regional Neurocritical Care Meeting,CONGRESOS Y CONVENCIONES,2019-11-23,2019-11-27
International Conference on Research Reactors: Addressing Challenges and Opportunities to Ensure Effectiveness and Sustainability,CONGRESOS Y CONVENCIONES,2019-11-25,2019-11-29
12ª Reunión Nacional Científico – Técnica de Biología de Suelos,CONGRESOS Y CONVENCIONES,2019-11-25,2019-11-27
Conferencia Financiarización y Desarrollo en el Sur Global,CONGRESOS Y CONVENCIONES,2019-11-26,2019-11-28
XI Congreso Internacional de Investigación y Práctica Profesional en Psicología  conjunto con XXVi Jornadas de Investigación y XV Encuentro de Investigadores en Psicología del MERCOSUR,CONGRESOS Y CONVENCIONES,2019-11-27,2019-11-29
