año;sector;subsector;valor;;;;;;;;;;;;;;;;;;;;;;
2010;Energía;Edificios residenciales; 3.689.034 ;;;;;;;;;;;;;;;;;;;;;;
2011;Energía;Edificios residenciales; 3.959.826 ;;;;;;;;;;;;;;;;;;;;;;
2012;Energía;Edificios residenciales; 3.943.738 ;;;;;;;;;;;;;;;;;;;;;;
2013;Energía;Edificios residenciales; 3.875.609 ;;;;;;;;;;;;;;;;;;;;;;
2014;Energía;Edificios residenciales; 3.780.262 ;;;;;;;;;;;;;;;;;;;;;;
2015;Energía;Edificios residenciales; 3.812.691 ;;;;;;;;;;;;;;;;;;;;;;
2016;Energía;Edificios residenciales; 3.922.520 ;;;;;;;;;;;;;;;;;;;;;;
2017;Energía;Edificios residenciales; 3.298.506 ;;;;;;;;;;;;;;;;;;;;;;
2018;Energía;Edificios residenciales; 3.270.206 ;;;;;;;;;;;;;;;;;;;;;;
2019;Energía;Edificios residenciales; 2.953.078 ;;;;;;;;;;;;;;;;;;;;;;
2020;Energía;Edificios residenciales; 3.114.140 ;;;;;;;;;;;;;;;;;;;;;;
2021;Energía;Edificios residenciales; 3.146.679 ;;;;;;;;;;;;;;;;;;;;;;
2022;Energía;Edificios residenciales; 3.155.873 ;;;;;;;;;;;;;;;;;;;;;;
2023;Energía;Edificios residenciales; 2.854.647 ;;;;;;;;;;;;;;;;;;;;;;
2000;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 229.592 ;;;;;;;;;;;;;;;;;;;;;;
2001;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 186.074 ;;;;;;;;;;;;;;;;;;;;;;
2002;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 140.229 ;;;;;;;;;;;;;;;;;;;;;;
2003;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 158.568 ;;;;;;;;;;;;;;;;;;;;;;
2004;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 202.798 ;;;;;;;;;;;;;;;;;;;;;;
2005;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 197.643 ;;;;;;;;;;;;;;;;;;;;;;
2006;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 205.579 ;;;;;;;;;;;;;;;;;;;;;;
2007;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 210.846 ;;;;;;;;;;;;;;;;;;;;;;
2008;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 201.681 ;;;;;;;;;;;;;;;;;;;;;;
2009;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 202.514 ;;;;;;;;;;;;;;;;;;;;;;
2010;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 171.318 ;;;;;;;;;;;;;;;;;;;;;;
2011;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 178.575 ;;;;;;;;;;;;;;;;;;;;;;
2012;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 185.539 ;;;;;;;;;;;;;;;;;;;;;;
2013;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 175.402 ;;;;;;;;;;;;;;;;;;;;;;
2014;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 163.710 ;;;;;;;;;;;;;;;;;;;;;;
2015;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 165.196 ;;;;;;;;;;;;;;;;;;;;;;
2016;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 155.476 ;;;;;;;;;;;;;;;;;;;;;;
2017;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 193.789 ;;;;;;;;;;;;;;;;;;;;;;
2018;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 197.432 ;;;;;;;;;;;;;;;;;;;;;;
2019;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 194.039 ;;;;;;;;;;;;;;;;;;;;;;
2020;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 172.393 ;;;;;;;;;;;;;;;;;;;;;;
2021;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 154.870 ;;;;;;;;;;;;;;;;;;;;;;
2022;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 161.568 ;;;;;;;;;;;;;;;;;;;;;;
2023;Energía;Emisiones fugitivas de sistemas de petróleo y gas natural; 145.017 ;;;;;;;;;;;;;;;;;;;;;;
2000;Energía;Industrias manufactureras y construcción; 780.525 ;;;;;;;;;;;;;;;;;;;;;;
2001;Energía;Industrias manufactureras y construcción; 583.268 ;;;;;;;;;;;;;;;;;;;;;;
2002;Energía;Industrias manufactureras y construcción; 518.614 ;;;;;;;;;;;;;;;;;;;;;;
2003;Energía;Industrias manufactureras y construcción; 595.775 ;;;;;;;;;;;;;;;;;;;;;;
2004;Energía;Industrias manufactureras y construcción; 681.457 ;;;;;;;;;;;;;;;;;;;;;;
2005;Energía;Industrias manufactureras y construcción; 658.827 ;;;;;;;;;;;;;;;;;;;;;;
2006;Energía;Industrias manufactureras y construcción; 808.557 ;;;;;;;;;;;;;;;;;;;;;;
2007;Energía;Industrias manufactureras y construcción; 861.403 ;;;;;;;;;;;;;;;;;;;;;;
2008;Energía;Industrias manufactureras y construcción; 796.858 ;;;;;;;;;;;;;;;;;;;;;;
2009;Energía;Industrias manufactureras y construcción; 679.487 ;;;;;;;;;;;;;;;;;;;;;;
2010;Energía;Industrias manufactureras y construcción; 1.567.690 ;;;;;;;;;;;;;;;;;;;;;;
2011;Energía;Industrias manufactureras y construcción; 2.236.075 ;;;;;;;;;;;;;;;;;;;;;;
2012;Energía;Industrias manufactureras y construcción; 1.909.762 ;;;;;;;;;;;;;;;;;;;;;;
2013;Energía;Industrias manufactureras y construcción; 1.220.922 ;;;;;;;;;;;;;;;;;;;;;;
2014;Energía;Industrias manufactureras y construcción; 987.285 ;;;;;;;;;;;;;;;;;;;;;;
2015;Energía;Industrias manufactureras y construcción; 851.753 ;;;;;;;;;;;;;;;;;;;;;;
2016;Energía;Industrias manufactureras y construcción; 1.170.057 ;;;;;;;;;;;;;;;;;;;;;;
2017;Energía;Industrias manufactureras y construcción; 1.564.234 ;;;;;;;;;;;;;;;;;;;;;;
2018;Energía;Industrias manufactureras y construcción; 1.231.434 ;;;;;;;;;;;;;;;;;;;;;;
2019;Energía;Industrias manufactureras y construcción; 879.560 ;;;;;;;;;;;;;;;;;;;;;;
2020;Energía;Industrias manufactureras y construcción; 810.244 ;;;;;;;;;;;;;;;;;;;;;;
2021;Energía;Industrias manufactureras y construcción; 829.547 ;;;;;;;;;;;;;;;;;;;;;;
2022;Energía;Industrias manufactureras y construcción; 769.300 ;;;;;;;;;;;;;;;;;;;;;;
2023;Energía;Industrias manufactureras y construcción; 632.388 ;;;;;;;;;;;;;;;;;;;;;;
2013;Residuos;Residuos biológicos generados en la ciudad; 5.683 ;;;;;;;;;;;;;;;;;;;;;;
2014;Residuos;Residuos biológicos generados en la ciudad; 11.601 ;;;;;;;;;;;;;;;;;;;;;;
2015;Residuos;Residuos biológicos generados en la ciudad; 9.752 ;;;;;;;;;;;;;;;;;;;;;;
2016;Residuos;Residuos biológicos generados en la ciudad; 10.371 ;;;;;;;;;;;;;;;;;;;;;;
2017;Residuos;Residuos biológicos generados en la ciudad; 11.150 ;;;;;;;;;;;;;;;;;;;;;;
2018;Residuos;Residuos biológicos generados en la ciudad; 11.668 ;;;;;;;;;;;;;;;;;;;;;;
2019;Residuos;Residuos biológicos generados en la ciudad; 8.696 ;;;;;;;;;;;;;;;;;;;;;;
2020;Residuos;Residuos biológicos generados en la ciudad; 8.743 ;;;;;;;;;;;;;;;;;;;;;;
2021;Residuos;Residuos biológicos generados en la ciudad; 8.690 ;;;;;;;;;;;;;;;;;;;;;;
2022;Residuos;Residuos biológicos generados en la ciudad; 8.268 ;;;;;;;;;;;;;;;;;;;;;;
2023;Residuos;Residuos biológicos generados en la ciudad; 12.011 ;;;;;;;;;;;;;;;;;;;;;;
2000;Residuos;Residuos sólidos generados en la Ciudad; 1.657.834 ;;;;;;;;;;;;;;;;;;;;;;
2001;Residuos;Residuos sólidos generados en la Ciudad; 1.700.636 ;;;;;;;;;;;;;;;;;;;;;;
2002;Residuos;Residuos sólidos generados en la Ciudad; 1.729.249 ;;;;;;;;;;;;;;;;;;;;;;
2003;Residuos;Residuos sólidos generados en la Ciudad; 1.709.993 ;;;;;;;;;;;;;;;;;;;;;;
2004;Residuos;Residuos sólidos generados en la Ciudad; 1.695.057 ;;;;;;;;;;;;;;;;;;;;;;
2005;Residuos;Residuos sólidos generados en la Ciudad; 1.695.793 ;;;;;;;;;;;;;;;;;;;;;;
2006;Residuos;Residuos sólidos generados en la Ciudad; 1.674.203 ;;;;;;;;;;;;;;;;;;;;;;
2007;Residuos;Residuos sólidos generados en la Ciudad; 1.667.839 ;;;;;;;;;;;;;;;;;;;;;;
2008;Residuos;Residuos sólidos generados en la Ciudad; 1.607.921 ;;;;;;;;;;;;;;;;;;;;;;
2009;Residuos;Residuos sólidos generados en la Ciudad; 1.585.722 ;;;;;;;;;;;;;;;;;;;;;;
2010;Residuos;Residuos sólidos generados en la Ciudad; 1.548.948 ;;;;;;;;;;;;;;;;;;;;;;
2011;Residuos;Residuos sólidos generados en la Ciudad; 1.632.901 ;;;;;;;;;;;;;;;;;;;;;;
2012;Residuos;Residuos sólidos generados en la Ciudad; 1.781.592 ;;;;;;;;;;;;;;;;;;;;;;
2013;Residuos;Residuos sólidos generados en la Ciudad; 1.879.738 ;;;;;;;;;;;;;;;;;;;;;;
2014;Residuos;Residuos sólidos generados en la Ciudad; 1.977.348 ;;;;;;;;;;;;;;;;;;;;;;
2015;Residuos;Residuos sólidos generados en la Ciudad; 1.966.444 ;;;;;;;;;;;;;;;;;;;;;;
2016;Residuos;Residuos sólidos generados en la Ciudad; 1.936.919 ;;;;;;;;;;;;;;;;;;;;;;
2017;Residuos;Residuos sólidos generados en la Ciudad; 1.886.777 ;;;;;;;;;;;;;;;;;;;;;;
2018;Residuos;Residuos sólidos generados en la ciudad; 1.795.348 ;;;;;;;;;;;;;;;;;;;;;;
2019;Residuos;Residuos sólidos generados en la ciudad; 1.740.309 ;;;;;;;;;;;;;;;;;;;;;;
2020;Residuos;Residuos sólidos generados en la ciudad; 1.686.885 ;;;;;;;;;;;;;;;;;;;;;;
