ID,SubmissionDate,start,end,today,personas-n_personas,pais-pais_origen,pais-provincia,pais-pais_otro,noches_ciudad-noches,informacion_group-info,informacion_group-info_otro,telefonia-servicios_telefonicos,telefonia-empresa_otro,discapacidad-discapacidad,meta-instanceID,KEY,SubmitterID,SubmitterName,Status
1157,2020-02-23T15:01:32.645Z,2020-02-23T10:45:04.732-03:00,2020-02-23T10:45:21.655-03:00,23/02/2020,1,Ecuador,,,4,Orientación Bus_Turístico,,Ninguna,,No,uuid:751d3821-1a8b-4c93-8b28-c858ec0e6683,uuid:751d3821-1a8b-4c93-8b28-c858ec0e6683,70,Casco Histórico,
1158,2020-02-23T15:01:33.208Z,2020-02-23T10:45:24.930-03:00,2020-02-23T10:45:47.212-03:00,23/02/2020,2,Ecuador,,,6,Mapas_Ciudad Orientación Bus_Turístico,,Ninguna,,No,uuid:cea4c4cb-ddb2-4dfe-892d-0e07092cfdd1,uuid:cea4c4cb-ddb2-4dfe-892d-0e07092cfdd1,70,Casco Histórico,
1159,2020-02-23T15:01:33.728Z,2020-02-23T10:46:03.098-03:00,2020-02-23T11:06:09.739-03:00,23/02/2020,2,Uruguay,,,4,Mapas_Ciudad Orientación,,Ninguna,,No,uuid:0dee1b75-30dc-444c-abfb-3a282b695b8b,uuid:0dee1b75-30dc-444c-abfb-3a282b695b8b,70,Casco Histórico,
1160,2020-02-23T15:01:34.248Z,2020-02-23T11:06:13.936-03:00,2020-02-23T11:06:35.097-03:00,23/02/2020,3,Argentina,Córdoba,,,Orientación Bus_Turístico,,,,No,uuid:6da2b758-2741-4b70-9fbc-f6b790a16b81,uuid:6da2b758-2741-4b70-9fbc-f6b790a16b81,70,Casco Histórico,
1161,2020-02-23T15:01:34.843Z,2020-02-23T11:06:38.379-03:00,2020-02-23T11:06:49.017-03:00,23/02/2020,2,Brasil,,,4,Mapas_Ciudad Transporte,,Ninguna,,No,uuid:dc91f06d-97b6-4eb4-b02b-81697e918a2e,uuid:dc91f06d-97b6-4eb4-b02b-81697e918a2e,70,Casco Histórico,
1162,2020-02-23T15:01:35.355Z,2020-02-23T11:47:07.345-03:00,2020-02-23T11:47:33.257-03:00,23/02/2020,3,Francia,,,8,Bus_Turístico Mapas_Ciudad Orientación,,Ninguna,,No,uuid:815c8cc0-1771-467b-b828-6f84070294e1,uuid:815c8cc0-1771-467b-b828-6f84070294e1,70,Casco Histórico,
1163,2020-02-23T15:01:35.864Z,2020-02-23T11:54:19.148-03:00,2020-02-23T11:55:39.754-03:00,23/02/2020,3,Argentina,AMBA,,,Mapas_Ciudad Orientación Bus_Turístico,,,,No,uuid:e238f466-885a-4686-b5de-f66c57c5f877,uuid:e238f466-885a-4686-b5de-f66c57c5f877,70,Casco Histórico,
1164,2020-02-23T15:01:36.376Z,2020-02-23T11:55:46.543-03:00,2020-02-23T11:57:52.472-03:00,23/02/2020,2,Otro,,Checa,5,Mapas_Ciudad Orientación Ferias_&_Mercados Gastronomía,,Ninguna,,,uuid:e75cef43-9972-4920-9a5c-18a8c8c69120,uuid:e75cef43-9972-4920-9a5c-18a8c8c69120,70,Casco Histórico,
1165,2020-02-23T15:01:36.933Z,2020-02-23T11:57:55.777-03:00,2020-02-23T11:58:53.213-03:00,23/02/2020,5,Alemania,,,1,Orientación Eventos_&_Espectáculos,,Ninguna,,,uuid:8c2f84ad-b29d-45c0-b184-0fe510a73851,uuid:8c2f84ad-b29d-45c0-b184-0fe510a73851,70,Casco Histórico,
1166,2020-02-23T15:01:37.498Z,2020-02-23T11:58:57.385-03:00,2020-02-23T11:59:27.623-03:00,23/02/2020,3,Chile,,,2,Bus_Turístico Orientación,,Ninguna,,No,uuid:f52295fb-66e7-4d27-b04b-08c120f9dc65,uuid:f52295fb-66e7-4d27-b04b-08c120f9dc65,70,Casco Histórico,
1167,2020-02-23T15:01:38.041Z,2020-02-23T11:59:31.059-03:00,2020-02-23T11:59:52.279-03:00,23/02/2020,5,Brasil,,,,Orientación Bus_Turístico Bicicletas Alrededores_BA Transporte,,Ninguna,,No,uuid:61aebd6b-266b-46f5-a284-3a7d065ce297,uuid:61aebd6b-266b-46f5-a284-3a7d065ce297,70,Casco Histórico,
1168,2020-02-23T15:08:24.627Z,2020-02-23T12:08:15.538-03:00,2020-02-23T12:08:23.021-03:00,23/02/2020,3,Estados_Unidos,,,,Mapas_Ciudad Transporte Bus_Turístico Orientación,,,,,uuid:30a4e5cc-7af9-47a2-a4e5-91bb07b0ac03,uuid:30a4e5cc-7af9-47a2-a4e5-91bb07b0ac03,76,Aeroparque,
1169,2020-02-23T15:08:37.074Z,2020-02-23T12:08:25.356-03:00,2020-02-23T12:08:35.831-03:00,23/02/2020,2,España,,,,Mapas_Ciudad Orientación Transporte Atractivos_turísticos,,,,,uuid:392bfc8a-5b15-4b41-b741-d5a29ce7edee,uuid:392bfc8a-5b15-4b41-b741-d5a29ce7edee,76,Aeroparque,
1170,2020-02-23T15:08:47.873Z,2020-02-23T12:08:38.948-03:00,2020-02-23T12:08:46.566-03:00,23/02/2020,2,España,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:ecb5297d-ce25-4116-a619-277d813e09f7,uuid:ecb5297d-ce25-4116-a619-277d813e09f7,76,Aeroparque,
1171,2020-02-23T15:08:57.106Z,2020-02-23T12:08:49.177-03:00,2020-02-23T12:08:56.191-03:00,23/02/2020,2,Reino_Unido,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:2a8e0afe-9f49-4923-838a-e83ef50a9fe6,uuid:2a8e0afe-9f49-4923-838a-e83ef50a9fe6,76,Aeroparque,
1172,2020-02-23T15:09:13.270Z,2020-02-23T12:09:04.070-03:00,2020-02-23T12:09:12.077-03:00,23/02/2020,3,Argentina,Sin dato,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:336d8d8d-fa25-4cc5-9a2d-428e344a257a,uuid:336d8d8d-fa25-4cc5-9a2d-428e344a257a,76,Aeroparque,
1173,2020-02-23T15:09:24.515Z,2020-02-23T12:09:14.817-03:00,2020-02-23T12:09:23.483-03:00,23/02/2020,3,Argentina,Sin dato,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:77a6ab74-c24d-4770-a5c0-c7cc36ff2f23,uuid:77a6ab74-c24d-4770-a5c0-c7cc36ff2f23,76,Aeroparque,
1174,2020-02-23T15:09:38.473Z,2020-02-23T12:09:25.453-03:00,2020-02-23T12:09:37.656-03:00,23/02/2020,3,España,,,3,Mapas_Ciudad Transporte Orientación,,,,,uuid:a5c5960e-66bd-477a-b517-fa642f929a0d,uuid:a5c5960e-66bd-477a-b517-fa642f929a0d,76,Aeroparque,
1175,2020-02-23T15:09:54.346Z,2020-02-23T12:09:45.889-03:00,2020-02-23T12:09:53.398-03:00,23/02/2020,3,Brasil,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:05a64b42-00d7-4517-917a-a9ed5075a7f7,uuid:05a64b42-00d7-4517-917a-a9ed5075a7f7,76,Aeroparque,
1176,2020-02-23T15:15:06.000Z,2020-02-23T12:11:37.076-03:00,2020-02-23T12:15:04.495-03:00,23/02/2020,3,Argentina,Córdoba,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:2e28f9db-5886-46a2-bc38-a4659e83449c,uuid:2e28f9db-5886-46a2-bc38-a4659e83449c,76,Aeroparque,
1177,2020-02-23T15:34:48.555Z,2020-02-23T12:34:30.753-03:00,2020-02-23T12:34:45.698-03:00,23/02/2020,2,Brasil,,,5,Bus_Turístico,,Ninguna,,No,uuid:642736d8-895a-4d24-9bb8-c216fdc942a0,uuid:642736d8-895a-4d24-9bb8-c216fdc942a0,71,Puerto Madero,
1178,2020-02-23T15:35:15.468Z,2020-02-23T12:34:50.965-03:00,2020-02-23T12:35:14.391-03:00,23/02/2020,1,Argentina,AMBA,,,Uso_de_instalaciones,,,,No,uuid:e1eeb4ee-fdf9-4ddc-8244-5f767ce5f2a8,uuid:e1eeb4ee-fdf9-4ddc-8244-5f767ce5f2a8,71,Puerto Madero,
1179,2020-02-23T15:36:24.747Z,2020-02-23T12:36:01.260-03:00,2020-02-23T12:36:20.041-03:00,23/02/2020,2,Chile,,,3,Bus_Turístico Orientación,,Ninguna,,No,uuid:821f3d84-7ff9-4841-9ee5-2a6e46e26782,uuid:821f3d84-7ff9-4841-9ee5-2a6e46e26782,71,Puerto Madero,
1180,2020-02-23T15:49:22.270Z,2020-02-23T12:49:13.375-03:00,2020-02-23T12:49:20.880-03:00,23/02/2020,3,Estados_Unidos,,,,Mapas_Ciudad Transporte Bus_Turístico Orientación,,,,,uuid:c6c9b870-311f-4fe0-8e87-fe36d6aec8e5,uuid:c6c9b870-311f-4fe0-8e87-fe36d6aec8e5,76,Aeroparque,
1181,2020-02-23T15:49:30.908Z,2020-02-23T12:49:23.142-03:00,2020-02-23T12:49:30.592-03:00,23/02/2020,3,Estados_Unidos,,,,Mapas_Ciudad Transporte Bus_Turístico Orientación,,,,,uuid:170bc1ad-f22f-4922-9225-76e7685d2988,uuid:170bc1ad-f22f-4922-9225-76e7685d2988,76,Aeroparque,
1182,2020-02-23T15:49:41.071Z,2020-02-23T12:49:34.012-03:00,2020-02-23T12:49:40.736-03:00,23/02/2020,2,Argentina,Sin dato,,,Mapas_Ciudad,,,,,uuid:db5b6cfc-ff2a-4a84-9b37-4e065d4d23aa,uuid:db5b6cfc-ff2a-4a84-9b37-4e065d4d23aa,76,Aeroparque,
1183,2020-02-23T15:49:53.107Z,2020-02-23T12:49:43.098-03:00,2020-02-23T12:49:52.652-03:00,23/02/2020,3,España,,,,Mapas_Ciudad Transporte Orientación SUBE,,,,,uuid:dca62e02-d9ea-408c-9f3a-70a3d16a2fb6,uuid:dca62e02-d9ea-408c-9f3a-70a3d16a2fb6,76,Aeroparque,
1184,2020-02-23T15:50:11.471Z,2020-02-23T12:50:02.528-03:00,2020-02-23T12:50:10.669-03:00,23/02/2020,3,Estados_Unidos,,,,Mapas_Ciudad Transporte Bus_Turístico Orientación,,,,,uuid:267ab9c3-bea8-46e0-8132-7923d7d333dc,uuid:267ab9c3-bea8-46e0-8132-7923d7d333dc,76,Aeroparque,
1185,2020-02-23T15:50:20.275Z,2020-02-23T12:50:12.665-03:00,2020-02-23T12:50:19.854-03:00,23/02/2020,2,Estados_Unidos,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:0be89390-822a-49e6-9195-f59f55ef06f5,uuid:0be89390-822a-49e6-9195-f59f55ef06f5,76,Aeroparque,
1186,2020-02-23T15:50:30.874Z,2020-02-23T12:50:22.817-03:00,2020-02-23T12:50:30.405-03:00,23/02/2020,2,Francia,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:7cb053c6-9ece-4a90-8232-7fcdace4f93a,uuid:7cb053c6-9ece-4a90-8232-7fcdace4f93a,76,Aeroparque,
1187,2020-02-23T15:50:42.955Z,2020-02-23T12:50:32.676-03:00,2020-02-23T12:50:41.935-03:00,23/02/2020,35,Estados_Unidos,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:ff6fd76b-1e22-4592-98c9-76f3e71e51e2,uuid:ff6fd76b-1e22-4592-98c9-76f3e71e51e2,76,Aeroparque,
1188,2020-02-23T15:50:53.188Z,2020-02-23T12:50:44.386-03:00,2020-02-23T12:50:52.528-03:00,23/02/2020,2,Colombia,,,,Mapas_Ciudad,,,,,uuid:f825d5db-e1bf-4c6a-b13d-bf621b351a8b,uuid:f825d5db-e1bf-4c6a-b13d-bf621b351a8b,76,Aeroparque,
1189,2020-02-23T15:51:17.269Z,2020-02-23T12:50:54.841-03:00,2020-02-23T12:51:16.921-03:00,23/02/2020,25,Otro,,Japón,,Mapas_Ciudad Orientación,,,,,uuid:e1ab2813-522c-4721-b3c0-e1bd3d8984b1,uuid:e1ab2813-522c-4721-b3c0-e1bd3d8984b1,76,Aeroparque,
1190,2020-02-23T15:51:29.027Z,2020-02-23T12:51:20.121-03:00,2020-02-23T12:51:28.647-03:00,23/02/2020,3,Argentina,Neuquén,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:8946430a-9311-481b-8ba3-5abcffa0f7ec,uuid:8946430a-9311-481b-8ba3-5abcffa0f7ec,76,Aeroparque,
1191,2020-02-23T15:51:41.631Z,2020-02-23T12:51:31.621-03:00,2020-02-23T12:51:41.325-03:00,23/02/2020,2,Argentina,Sin dato,,,Mapas_Ciudad Orientación Transporte Alojamiento,,,,,uuid:f5bb87d5-750a-4ee9-8f5b-148ee9593416,uuid:f5bb87d5-750a-4ee9-8f5b-148ee9593416,76,Aeroparque,
1192,2020-02-23T15:51:51.147Z,2020-02-23T12:51:43.403-03:00,2020-02-23T12:51:50.728-03:00,23/02/2020,1,España,,,,Mapas_Ciudad Transporte Orientación SUBE,,,,,uuid:e4beeef0-4676-43b4-af4e-6ab5b5b131a2,uuid:e4beeef0-4676-43b4-af4e-6ab5b5b131a2,76,Aeroparque,
1193,2020-02-23T15:52:01.827Z,2020-02-23T12:51:53.706-03:00,2020-02-23T12:52:01.440-03:00,23/02/2020,3,Francia,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:50157e92-51c0-424c-8c2a-2a067213d02a,uuid:50157e92-51c0-424c-8c2a-2a067213d02a,76,Aeroparque,
1194,2020-02-23T15:52:42.437Z,2020-02-23T12:43:29.426-03:00,2020-02-23T12:52:41.140-03:00,23/02/2020,5,Francia,,,5,"Mapas_Ciudad Orientación Atractivos_turísticos Cambio,_Banco_&_Cajeros",,,,,uuid:8d0f7d03-393e-40e3-8a69-2b9731d7a2b9,uuid:8d0f7d03-393e-40e3-8a69-2b9731d7a2b9,73,Recoleta,
1195,2020-02-23T16:34:50.725Z,2020-02-23T12:17:33.701-03:00,2020-02-23T12:17:46.807-03:00,23/02/2020,4,Francia,,,7,Mapas_Ciudad Transporte,,Ninguna,,No,uuid:25657dbd-aad4-454e-bfea-55aba930d24a,uuid:25657dbd-aad4-454e-bfea-55aba930d24a,70,Casco Histórico,
1196,2020-02-23T16:34:51.765Z,2020-02-23T13:33:58.330-03:00,2020-02-23T13:34:28.857-03:00,23/02/2020,2,Canadá,,,,SUBE,,,,No,uuid:9616b976-c6d0-4535-956e-533681956590,uuid:9616b976-c6d0-4535-956e-533681956590,70,Casco Histórico,
1197,2020-02-23T17:30:34.489Z,2020-02-23T14:29:55.720-03:00,2020-02-23T14:30:32.629-03:00,23/02/2020,3,Estados_Unidos,,,,Mapas_Ciudad Transporte,,,,,uuid:6e564893-09b2-426c-a25b-a612e745c3f4,uuid:6e564893-09b2-426c-a25b-a612e745c3f4,76,Aeroparque,
1198,2020-02-23T17:30:43.178Z,2020-02-23T14:30:35.433-03:00,2020-02-23T14:30:42.506-03:00,23/02/2020,2,Argentina,Provincia_de_Buenos_Aires,,,Mapas_Ciudad,,,,,uuid:92c769f9-e0a7-4648-91e1-58d7a3ae9180,uuid:92c769f9-e0a7-4648-91e1-58d7a3ae9180,76,Aeroparque,
1199,2020-02-23T17:30:55.612Z,2020-02-23T14:30:45.319-03:00,2020-02-23T14:30:53.858-03:00,23/02/2020,2,Argentina,Sin dato,,,Mapas_Ciudad,,,,,uuid:95b61563-0664-4885-b6d3-11c2f62369e5,uuid:95b61563-0664-4885-b6d3-11c2f62369e5,76,Aeroparque,
1200,2020-02-23T17:31:06.173Z,2020-02-23T14:30:57.413-03:00,2020-02-23T14:31:05.141-03:00,23/02/2020,3,Estados_Unidos,,,,,,,,,uuid:5276c55d-44da-44c2-b342-b80870bffc05,uuid:5276c55d-44da-44c2-b342-b80870bffc05,76,Aeroparque,
1201,2020-02-23T17:31:19.809Z,2020-02-23T14:31:12.393-03:00,2020-02-23T14:31:19.060-03:00,23/02/2020,3,México,,,,Mapas_Ciudad,,,,,uuid:79b50bb5-148c-4510-9012-80ce21b7ab32,uuid:79b50bb5-148c-4510-9012-80ce21b7ab32,76,Aeroparque,
1202,2020-02-23T17:31:28.991Z,2020-02-23T14:31:21.166-03:00,2020-02-23T14:31:28.344-03:00,23/02/2020,3,Argentina,Sin dato,,,Mapas_Ciudad,,,,,uuid:ee5302e7-5f1f-4f1e-a2e1-310bff7c1680,uuid:ee5302e7-5f1f-4f1e-a2e1-310bff7c1680,76,Aeroparque,
1203,2020-02-23T17:31:38.414Z,2020-02-23T14:31:30.864-03:00,2020-02-23T14:31:37.667-03:00,23/02/2020,2,Argentina,Sin dato,,,Mapas_Ciudad,,,,,uuid:fab221b7-236c-4efc-b3a3-79bd2ef49e63,uuid:fab221b7-236c-4efc-b3a3-79bd2ef49e63,76,Aeroparque,
1204,2020-02-23T17:31:52.069Z,2020-02-23T14:31:44.686-03:00,2020-02-23T14:31:51.023-03:00,23/02/2020,5,Estados_Unidos,,,,Mapas_Ciudad,,,,,uuid:0dfe8bbf-1d62-421e-8bfd-9a2cb2f0855e,uuid:0dfe8bbf-1d62-421e-8bfd-9a2cb2f0855e,76,Aeroparque,
1205,2020-02-23T17:32:01.768Z,2020-02-23T14:31:54.137-03:00,2020-02-23T14:32:01.077-03:00,23/02/2020,5,Reino_Unido,,,,Mapas_Ciudad,,,,,uuid:2705f438-e9b0-4db0-8e73-465b6bf82e17,uuid:2705f438-e9b0-4db0-8e73-465b6bf82e17,76,Aeroparque,
